wiI7pd,dealership_name,manual_label,review_id,predicted_sentiment,predicted_label
"When Khalid motor started working, it was amazing in services, timely and efficiently, but with time as it goes older services get declined. Staff do things unprofessional and services was disappointing, for one things need several visit to fix.
It's just ok",Suzuki Khalid Motors (Link Ferozpur),0.0,1,0.39689082,0
"On my last visit 3 days ago, the sale  person (arslan) who was dealing me dodged with me. He asked me to do those works that are not required by my new car at this time. Secondly, he charged me the most expensive engine oil without",Suzuki Khalid Motors (Link Ferozpur),0.0,2,0.33592793,0
"Staff isn't very warm .
They do ok but hide many things and charge u later .",Suzuki Khalid Motors (Link Ferozpur),1.0,3,0.7768395,1
Very competent and courteous staff. I've gotten my car repaired twice from KM and it was super.,Suzuki Khalid Motors (Link Ferozpur),1.0,4,0.8828722,1
Parking issue and need to enhance the services setup especially for suzuki customers,Suzuki Khalid Motors (Link Ferozpur),0.0,5,0.6376721,1
Staff is very kind and cooperative from top to bottom management. We had a great experience buying our first car from there.,Suzuki Khalid Motors (Link Ferozpur),1.0,6,0.895834,1
"Axha experience rha, 10 mint main kam krdia. Very experience and trained people are there.",Suzuki Khalid Motors (Link Ferozpur),1.0,7,0.5864834,1
Suzuki khalid motors is authorized dealers from suzuki motor company they provide genuine parts service maintenance denting penting and many more they deal in used and new cars. We,Suzuki Khalid Motors (Link Ferozpur),1.0,8,0.7596105,1
Their service + staff is really great. They are loyal with their work. Treat the vehicle as their own.,Suzuki Khalid Motors (Link Ferozpur),1.0,9,0.90627325,1
"Staff is very skilled and coprative. But main issue is with price. They charge alteast 2x on parts. In same thing is available at half price.

For staff its 5/5 no issue with staff.",Suzuki Khalid Motors (Link Ferozpur),1.0,10,0.41625598,0
Though the weather was too hot but I really enjoyed it. I especially admire the cooperative staff of M/s Khalid Motors,Suzuki Khalid Motors (Link Ferozpur),1.0,11,0.7900516,1
Overall good experience Staff was good but only prices are so high,Suzuki Khalid Motors (Link Ferozpur),1.0,12,0.8383181,1
"The salesman was very well-coming and clearly explained about the product inquired about. Also brochure was available which proved very helpful in my purchase process.

However they need to improve after sales services.",Suzuki Khalid Motors (Link Ferozpur),1.0,13,0.57171607,1
A huge showroom with a well trained staff but due to a big gathering service feels slow sometime....,Suzuki Khalid Motors (Link Ferozpur),1.0,14,0.38558036,0
"I would not recommend anyone to go through ÂSuzuki Khalid Motors Lahore.

As they are highly unprofessional will not pick your calls and you have to visit them to no avail and will make you do rounds around the Dealership and Suzuki Regional Office. Its been more than 2 months and they are saying car will come in 1 or 2 days Regardless knowing anything as they have ZERO information.

So save your time and donÂt book anything from this particular dealership and youÂll thank be later.",Suzuki Khalid Motors (Link Ferozpur),0.0,15,0.3165292,0
