wiI7pd,dealership,Unnamed: 1,Unnamed: 2,predicted_sentiment,confidence
Its very good workshop and 3S dealership one of the largest available in lahore for Honda.,HONDA Gateway,,,Positive,0.5605095530746993
A better place for solution of all problems regarding your  Honda car under single roof!,HONDA Gateway,,,Negative,0.5109592678022723
Honda should cancel their 3S dealership bakwas services fraud,HONDA Gateway,,,Negative,0.5109592678022723
Not providing Honda spare parts to outsiders except to the one who's getting it's work done over the,HONDA Gateway,,,Negative,0.5109592678022723
3rd Class Services,HONDA Gateway,,,Negative,0.5109592678022723
Fraud Honda Gateway. Ruin the name of Honda too,HONDA Gateway,,,Negative,0.5109592678022723
Excellent service standards and welcome reception. Good brand with open heart ? services.,HONDA Gateway,,,Positive,0.610285073989355
Need improvement,HONDA Gateway,,,Negative,0.5109592678022723
"Good staff, cooperative people",HONDA Gateway,,,Positive,0.5605095530746993
Good service but at a high price.,HONDA Gateway,,,Positive,0.5881235813232714
Pretty average service,HONDA Gateway,,,Negative,0.5113101318982131
"Good spot for honda cars for sales and required repairs.
However, they need to really work hard on customer services for the customers who want to get some repair work done there. Their service is not at par by any MEANS.....",HONDA Gateway,,,Positive,0.558485538257406
Good,HONDA Gateway,,,,
Went there for oil filter of honda city. They declined to sell it.. Said come with car otherwise not available.,HONDA Gateway,,,Negative,0.5109592678022723
just ok average work too muxh expensive,HONDA Gateway,,,Negative,0.5791296396742487
"Staff isnt cooperative at all.
You wont feel happy & satisfied at this place dealing",HONDA Gateway,,,Positive,0.5895584692427674
good,HONDA Gateway,,,,
Good service,HONDA Gateway,,,Positive,0.5881235813232714
"They know exactly what to do with cars, a bit expensive but worth it.
100% recommended.",HONDA Gateway,,,Negative,0.5791296396742487
Very cheep rate,HONDA Gateway,,,Negative,0.5109592678022723
Excellent 3s dealership with good work shop and paint shop.,HONDA Gateway,,,Positive,0.5895584692427674
Nice,HONDA Gateway,,,,
Good but very rushy,HONDA Gateway,,,Positive,0.5605095530746993
Good Showroom,HONDA Gateway,,,Positive,0.5605095530746993
Space for parking or placing of car is not enough. You have to move your car every time. Also Surveyors attached there are very incompetent and adds unnecessary complications to make you suffer and pay higher only.,HONDA Gateway,,,Negative,0.5109592678022723
"Good services, courteous staff",HONDA Gateway,,,Positive,0.5605095530746993
Thank you for the timely delivery as was committed. Loving the ride ??,HONDA Gateway,,,Negative,0.5109592678022723
"Honda Service center, Recently I have to repair my car but unfortunately they don't have required spare part. So moving forward to need keep good stock qty in hand.",HONDA Gateway,,,Positive,0.558485538257406
Just Okay.,HONDA Gateway,,,,
"I went to the Asia house today as well but my issue hasn't been resolved. Simply pathetic service overall all from your dealership and honda. Full payment made since August and no date of delivery yet and again and again subjected to price hikes. The management is not only misleading but is bloody rude!!!! There is no clear communication between teams and clients are stuck in thin air. I would never ever ever go through your dealership or advice anyone to do so, unless someone wants to open a can of worms!",HONDA Gateway,,,Negative,0.6435541999709762
Insurance claim services is still bad,HONDA Gateway,,,Negative,0.5791296396742487
Very cooperative environment,HONDA Gateway,,,Negative,0.5109592678022723
Staff supportive but they try to save company not consumer. Consumer or customer is not their priority,HONDA Gateway,,,Negative,0.5109592678022723
Nice and cooperative staff with quick services..,HONDA Gateway,,,Negative,0.5109592678022723
Very nice staff and service.,HONDA Gateway,,,Negative,0.5113101318982131
Machincal,HONDA Gateway,,,,
Ok,HONDA Gateway,,,,
Patience because the staff is occupied with too much work,HONDA Gateway,,,Negative,0.5109592678022723
Situated at Multan road opposite to eaden value homes... best car prizes aare there,HONDA Gateway,,,Positive,0.5605095530746993
average,HONDA Gateway,,,,
Worse experience in life. They never respond to call a single time in day. Look at SS below. This is number they had given in booking message to contact about Car delivery. Car dispatch date is gone and theres no delivery after 70 days of 100% Balance payment. Worse experience and Ill go to court now.,HONDA Gateway,,,Negative,0.5109592678022723
It was very warm and nice as the staff and the work was great,HONDA Gateway,,,Positive,0.5605095530746993
"Unprofessional staff, Miss commitments again again and again. Unprofessional Attitude.
I suggest no any body visit this show room due my experience is very poor for purchase honda city 1.5",HONDA Gateway,,,Negative,0.5791296396742487
Soo expensive ? ,HONDA Gateway,,,Negative,0.5791296396742487
Daravana,HONDA Gateway,,,,
Customer dealing is very poor zero empathy for clients. They won't reissue my delay delivery cheque after my father passed away been 4 months and still going... service center is over priced and not worth going they didn't satisfy me during inspection not recommended (i asked to check my new car is showing some electric errors the electrician put his hand on the fuse box and got the revelation that everything is fine)... not a fan of honda anymore... only person worth meeting is the manager,HONDA Gateway,,,Negative,0.5773647462757812
"Qualified Staff, healthy environment",HONDA Gateway,,,Negative,0.5109592678022723
Nice,HONDA Gateway,,,,
Good environment...proper handling of cars for routinely maintenance...separate waiting area... customer friendly,HONDA Gateway,,,Positive,0.5895584692427674
