wiI7pd,dealership,Unnamed: 1,Unnamed: 2,predicted_sentiment,confidence
Their manners are exceptional...and the complementary tea they served while waiting was wonderful too...All in all so far good enough to make me go there again.... â?¦,HONDA RingRoad,,,Positive,0.5895584692427674
Nice working staff and good services,HONDA RingRoad,,,Positive,0.5605095530746993
"Honda ring road services are just pathetic, may it be professionalism, guiding customer about problem, on time delivery, everything is doubtful. manipulation of records is practice here. Would not recommend to anyone",HONDA RingRoad,,,Negative,0.5488578389009036
Agr oil change k lie ana ho to pehle appointment lena hoga ya ase hi ja skte hai,HONDA RingRoad,,,Negative,0.5109592678022723
"Good services, well experienced team",HONDA RingRoad,,,Positive,0.5605095530746993
It's good place,HONDA RingRoad,,,Positive,0.5605095530746993
Good,HONDA RingRoad,,,,
The experience is not seamless. Noisy environment no proper cabins for staff and sitting. â?¦,HONDA RingRoad,,,Negative,0.5109592678022723
"Professional service, courteous staff and technically competent. Plus a well equipped workshop.",HONDA RingRoad,,,Positive,0.5881235813232714
Excellent,HONDA RingRoad,,,,
Too much expensive car maintenance,HONDA RingRoad,,,Negative,0.5791296396742487
Good service,HONDA RingRoad,,,Positive,0.5881235813232714
Comparative staff good dealership in town strongly recommended for your car maintenance they have attractive maintenance packages 100/100,HONDA RingRoad,,,Positive,0.5605095530746993
Not much help with after services,HONDA RingRoad,,,Negative,0.5109592678022723
Good road ð??£ï¸ â?¦,HONDA RingRoad,,,Positive,0.5605095530746993
"Got a car from here, service was good. Staff is well trained. It's a bit off from the main city but due to that there is less chaos at this dealership. The workshop is also good.",HONDA RingRoad,,,Positive,0.5599673606495894
Fake Phone number hai scam calls ati hain is say,HONDA RingRoad,,,Negative,0.5109592678022723
Having personal experience. If Honda Ring Road cant afford the salary then dont hire Sales Staff,HONDA RingRoad,,,Negative,0.5109592678022723
Had a very good experience of buying a car with very friendly and professional staff.,HONDA RingRoad,,,Positive,0.6114433542122345
"Regular services are fine. The staff acts to be very friendly and some of them really are. But when it comes to any warranty issue, they keep coming up with excuses since their preference is to take up jobs  where they get money.",HONDA RingRoad,,,Negative,0.5088887958765483
"Great Experience to Visit HONDA Ring Road, All Departments were Well Organized.",HONDA RingRoad,,,Positive,0.5605095530746993
"I visited here for maintenance and body work of my car. Overall it was a good experience, staff is quite cooperative as compared to other 3S centers and well trained. Special thanks to Mr. Hafiz Ahmad and Mr. Rafaqat Sardar.",HONDA RingRoad,,,Positive,0.5605095530746993
"Probably the best place to get your New Honda or get your Honda Car checked. They have amazing staff, from owner to gate guard, what a benchmark they are setting in dealership arena. but yea they forgot to give me complementary matts with â?¦",HONDA RingRoad,,,Positive,0.5895584692427674
"New service center, novice running it",HONDA RingRoad,,,Negative,0.5113101318982131
All quality services under one roof,HONDA RingRoad,,,Positive,0.5605095530746993
Dangerous area,HONDA RingRoad,,,Negative,0.5109592678022723
"HRR team is very knowledgeable, friendly and professional.
Along with good maintenance
will guide you through your dealâ?¦and answer all your questions.",HONDA RingRoad,,,Positive,0.6114433542122345
Very good services center and competent staff.,HONDA RingRoad,,,Positive,0.5605095530746993
Good Envernment,HONDA RingRoad,,,Positive,0.5605095530746993
"Great experience, Easy to access through Ring road and Amazing customer service. Thanks HRR Team",HONDA RingRoad,,,Positive,0.5881235813232714
Awesome Customer Service. Nice environment. Easily Accessible,HONDA RingRoad,,,Positive,0.558485538257406
Up till now I have visited this place 3 times and every time I met with different people concerned to workshop which shows there high employee turnover which is not a good sign for the customers. As far as service quality is concern they â?¦,HONDA RingRoad,,,Positive,0.5881235813232714
Very cooperative and welcoming staff.,HONDA RingRoad,,,Negative,0.5109592678022723
"Good experience...
Awesome service.....",HONDA RingRoad,,,Positive,0.610285073989355
Great experience purchasing a new car from Honda Ring Road. Mr. Muhammad Sajawwal was very kind and he made sure everything was lined up properly and on time. Will share my experience about their workshop as well but overall a very nice addition to Honda dealership network.,HONDA RingRoad,,,Positive,0.5605095530746993
Supportive staff,HONDA RingRoad,,,Negative,0.5109592678022723
Staff â??ï¸,HONDA RingRoad,,,Negative,0.5109592678022723
Excellent customer services,HONDA RingRoad,,,Positive,0.5605095530746993
I am employee in this dealership. This very good dealership. This peace of heart of gajjumata,HONDA RingRoad,,,Positive,0.5605095530746993
Professional and highly trained technician staff.,HONDA RingRoad,,,Positive,0.5605095530746993
I booked my BR-V and they committed delivery in 1 month but actually delivered in 2 months. Rest their services are good so far.,HONDA RingRoad,,,Positive,0.5605095530746993
Good,HONDA RingRoad,,,,
ð??ð??? Good place and professional service... Customer oriented... Cooperative staff and good listening of Higher Management. â?¦,HONDA RingRoad,,,Positive,0.604102330503561
"Nice ambience.
Professional approch.",HONDA RingRoad,,,Positive,0.5605095530746993
Best customer care service,HONDA RingRoad,,,Positive,0.558485538257406
Donâ??t book car from here. Honda ring road is big fraud. Especially overseas donâ??t buy from here they blackmail to customers. Sale management is non professional. I have all chat proves. They threat to customers and zero customer care. Female behavior is very offensive. Because uneducated sale management.,HONDA RingRoad,,,Positive,0.5605095530746993
