wiI7pd,dealership,Unnamed: 1,Unnamed: 2,predicted_sentiment,confidence
"Good showroom that offers other services like service / repair centre, facilitate in purchasing old but good suzuki cars and deals with Suzuki motorcycles.",Suzuki Adil Zafar Motors,,,Positive,0.5599673606495894
Services are OK.. While Spare parts prices are too much high even unaffordable in some cases.,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Received vehicle with faults which an ordinary person can not found..only an expert person who have the knowledge of vehicle denting and painting experience can judge it.,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
"I have been there several times for regular maintainance and repairs. Everytime the ecperience is kind of neutral.

Labour/staff is not cooperative as compared to Sethi Motors and Ali jan motors.

The system here is less organized and i dont know why the body language of labour make you feel that they are scamming somewhere. Like today, i went there to get the ""Right axle"" checked and after road test he said that the whole part (axle) needs to be replaced. His body language was like he was lying. Then i asked him if i can buy the part from general auto parts shops and not from suzuki then he started whispering with other mechanics and finally he said you can bring yourself and we will install it.

Then he again said, ""you have to get it machined yourself too""

Means he discouraged  me to buy part of my own.

The behaviours were disappointing in short.

Not a customer friendly environment.

At last, i decided not to get it repaired at Adil Zafar motors.

I recommend Sethi Motors, Ferozepur road.",Suzuki Adil Zafar Motors,,,Positive,0.5321214989757779
"They are avoiding to do repairs/services those are recommended by the Suzuki booklet at different mileage and as asked by costumers, I experienced this at three visits. Parts (filter) was unavailable and one of the technician offered to buy used A/C filter form him in Rs. 1000 that's original price is Rs. 7000. Not recommended for repairs/services.",Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
My father car mechanic.. best,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
"Good staff, great work, supportive customer service.",Suzuki Adil Zafar Motors,,,Positive,0.5881235813232714
"Well, as a car showroom and service center, I would rate this place 4-star but since this place belongs to Suzuki (which is a third-class vehicle manufacturer due to its quality of products and expensive prices), it deserves not more than 2-star. Therefore, on average, 3-star in my opinion.
They provide good car services but rates are quite high as compared to local market (because of being a brand). Also, their upper and sales staff is bit amateur and needs some professional training.",Suzuki Adil Zafar Motors,,,Positive,0.5614001856686007
Suzuki genuine workshop. A little costly.... But company maintenance is the BEST,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Staff is friendly and cooperative. They provide efficient and prompt service.,Suzuki Adil Zafar Motors,,,Positive,0.5881235813232714
"So much expensive. Moreover, really customer service. No one even bothered to ask me. Very rude staff.",Suzuki Adil Zafar Motors,,,Negative,0.6054037653776139
I love because they deliver my car in just one week. Imagine just in 1 week my car reached from Karachi after booking. After sales service is awesome. Full track record and full support. 100% recommend.,Suzuki Adil Zafar Motors,,,Positive,0.610285073989355
Staff was cooperative and informative. If driver shows interest in learning they guide you properly and make sure that customer is satisfied. Recommend indeed,Suzuki Adil Zafar Motors,,,Positive,0.5895584692427674
All service available in Showroom,Suzuki Adil Zafar Motors,,,Negative,0.5113101318982131
Normal services for car Repair,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
All under one roof,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Nice for buying car,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Sales services and part's,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Delivered car on-time but of course I have pay on price. But they kept their commitment. A good experience.,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Below average to average public dealing. I don't know whether it is due to work load of something else.,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Good service but not so good  expert in suzuki motors. I will not recommend,Suzuki Adil Zafar Motors,,,Positive,0.604102330503561
Good place for engine tuning only price of parts are more than double as compared to market.,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Worst staff. They don't want to work at all and just want you to spend money in their workshop as much as you can. Imran n Javaid bhai are comparitively better n coperative. Beware of Qasim a bulky person incharge of wheel alignment. U will definately get ur car damaged and no one will listen to u. I will never go to this workshop again.,Suzuki Adil Zafar Motors,,,Negative,0.5791296396742487
You can buy full range of SUZUKI vehicles here. Selected range of cars and motor cycles are on the display. They are 5S agent of SUZUKI Pakistan. Very old and reliable showroom. Owners of this facility are very humble.,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Staff is good. Not well managed. You have to wait  even for inspection.,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
"Pathetic service. Thugs and looters. Destroyed AC of my new car,  delayed stuff for 6 months till my insurance expired then gave me a plan of Rs 100 000 to fix it. And cherry on the cake, ""chori with sina zori""",Suzuki Adil Zafar Motors,,,Negative,0.6054037653776139
Good service,Suzuki Adil Zafar Motors,,,Positive,0.5881235813232714
"They sell cars only at OWN money. They always refuse booking a car by saying ""our quota is finished""",Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
They took almost one hour but unable to fix the issue in my car which was done by an ordinary mechanic outside in 10 minutes.,Suzuki Adil Zafar Motors,,,Negative,0.5791296396742487
Adil Zafar offers services and spare parts as well. Spare parts are expensive and all variety not available. Service area is not well organised and sometimes you need to spend 3 hours for only oil change and tuning.,Suzuki Adil Zafar Motors,,,Negative,0.5773647462757812
Excellent service. Helpful and friendly staff..no  hassle ..they make u feel how easy to buy a new car. . Keep it up.,Suzuki Adil Zafar Motors,,,Positive,0.6285660662212359
Very good service and good team work.exilant behavior,Suzuki Adil Zafar Motors,,,Positive,0.5839401980210318
Authorized dealer of Suzuki Motors with a very big setup and good customer service. If you own Suzuki vehicle this is the right place for you.,Suzuki Adil Zafar Motors,,,Positive,0.558485538257406
Suzuki showroom and service center with professional staff. They also give you free car services upon purchase of vehicle,Suzuki Adil Zafar Motors,,,Positive,0.558485538257406
They really have good service speed... I had an oil change in less then 35 min.... Keep it up!,Suzuki Adil Zafar Motors,,,Positive,0.5881235813232714
Best place to get Suzuki. Nice caring staff and very friendly... will discuss details and help you decide which car will be best for your needs,Suzuki Adil Zafar Motors,,,Positive,0.5845078837790162
"My favourite place for car maintenance & repairs. Cooperative staff, reasonable pricing, waiting room, toilets & refreshments available.",Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
"Excellent dealing by Ilyas Sahib. Customers friendly attitude and good environment. Offers 3S ie . Sale, Service and Spare parts",Suzuki Adil Zafar Motors,,,Positive,0.610285073989355
"Adil Zafar Motors is Szuki authorised dealer in sales, service and spare parts. Thus its a 3S shop situated at Multan Road Lahore.
Ilyas Sahib is sales manager here. Customers friendly attitude and environment.",Suzuki Adil Zafar Motors,,,Positive,0.558485538257406
Adil Zafar motors is show room and workshop  of Pak Suzuki motors.  Work quality  is good. Honest staff and rates are reasonable.,Suzuki Adil Zafar Motors,,,Positive,0.5895584692427674
Good place,Suzuki Adil Zafar Motors,,,,
"Nice workshop, better than other Suzuki showroom workshops, cooperative and highly skilled workers.",Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
I get genuine parts there of Suzuki ??. They introduced Suzuki offer scheme on purchasing of engine oil. ??,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Worst service ever. Suzuki Raiwind branch is much better.,Suzuki Adil Zafar Motors,,,Negative,0.6054037653776139
"Nice place, good experience. A little expensive and a bit high price rates for products but the experience was quite satisfying.",Suzuki Adil Zafar Motors,,,Negative,0.5088887958765483
very good service provider,Suzuki Adil Zafar Motors,,,Positive,0.5881235813232714
Nice working and experienced workers,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Very expert mechanical staff. Service changes littel high but services are very satisfactory,Suzuki Adil Zafar Motors,,,Negative,0.5113101318982131
Good sales staff and near to anyone living near multan road.,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
"It's always good for My Suzuki car maintenance here. Courteous & efficient staff, cooperative system",Suzuki Adil Zafar Motors,,,Positive,0.5895584692427674
courteseous staff and very honest charges for parts and services,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
"Suzuki Adil zafar motors is the best for purchas any car, we easyly purchased avery vehicle and work our car. ?· ??",Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
"Regarding auto workshop, services are good. Auto parts are also available at reasonable prices.",Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Little expensive but services are fine,Suzuki Adil Zafar Motors,,,Negative,0.5791296396742487
Nice place good staff specially Rustam Sahib very nice person,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
"Highly recommended to others
Boota bhai is great person
Machenical department.",Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Very Good Service and well trained staff.,Suzuki Adil Zafar Motors,,,Positive,0.5881235813232714
Good service,Suzuki Adil Zafar Motors,,,Positive,0.5881235813232714
"Very co-operative staff, well experienced mechanics and genuine parts bit costly with peace of mind!",Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Very Co operative staff and good showroom,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Nice persons good work,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Nice car dealers..,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Big & beautiful showroom is situated in Multan road & service also so good ?? ??,Suzuki Adil Zafar Motors,,,Positive,0.558485538257406
"They are courteous, co-operative and professional. Excellent service.",Suzuki Adil Zafar Motors,,,Positive,0.610285073989355
Bought my first car. Its a great place for getting your car serviced.,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Good services at body shop,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
For purchase of new cars and after sale service.,Suzuki Adil Zafar Motors,,,Negative,0.5113101318982131
If u want to tune ur car tow adil zafar best hai,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Competent staff. Good & friendly behaviour.,Suzuki Adil Zafar Motors,,,Positive,0.5895584692427674
Very good service provider.,Suzuki Adil Zafar Motors,,,Positive,0.5881235813232714
Good service except for denting & painting and insurance claim department,Suzuki Adil Zafar Motors,,,Positive,0.5881235813232714
Service is good but spares prices high,Suzuki Adil Zafar Motors,,,Positive,0.558485538257406
"It's a nice place, staff is very cooperative.",Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Preferably Better In Service If Compared To Other Suzuki Centres,Suzuki Adil Zafar Motors,,,Negative,0.5113101318982131
"Excellent services, even home delivery available.",Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Because o friendly staff & almost every facilty available of car service.,Suzuki Adil Zafar Motors,,,Positive,0.558485538257406
Satisfied with performance. Good Service ????????·??·??,Suzuki Adil Zafar Motors,,,Positive,0.610285073989355
Good customer support and well maintained.,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
They also have paint and denter shops.,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Thr are not much cooperative,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Good Car dealer and good place for car service and tuning..,Suzuki Adil Zafar Motors,,,Positive,0.5599673606495894
Suzuki 3s service. Management is friendly and understands issue.,Suzuki Adil Zafar Motors,,,Negative,0.5089763875056554
Good place for sales purchase and workshop,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Nice but not affordable workshop very very expensive,Suzuki Adil Zafar Motors,,,Negative,0.5791296396742487
Very good staf neat and fresh fresh workshop and i am very happy this wizit adil zafar motoras,Suzuki Adil Zafar Motors,,,Positive,0.5895584692427674
All under one roof. Show room . Wrok shop n denting paimting service.,Suzuki Adil Zafar Motors,,,Negative,0.5113101318982131
Good people and good dealing with customer.,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Nice showroom for suzuki lovers low interest rates and good service section,Suzuki Adil Zafar Motors,,,Positive,0.5881235813232714
very high rate when i go there for my mehran repairing,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Really friendly and helpful people here,Suzuki Adil Zafar Motors,,,Positive,0.5895584692427674
"Sales and service place for Suzuki cars, service standards are below average",Suzuki Adil Zafar Motors,,,Negative,0.5113101318982131
Nice visit every time,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Very good dealing upto my satisfaction,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
there all reparung and oarts available .that have sertefied machenic,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Good place for suzuki vehicle care cooperative staff,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Bought Suzuki Alto. Professional staff ?? ??,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Good services,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
"Just OK
Not have extra ordinary services",Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
"Nice dealers, have basically every part is car required.",Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Good environment and peaceful work shop,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Good experience,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Not available of Air filter for New Cultus,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Suzuki work shop and showroom very reliable services.,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Its OK but need more experience  staff,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Excellent suzuki motor workshop. Always satisfied.,Suzuki Adil Zafar Motors,,,Positive,0.5895584692427674
Excellent services .. really satisfied,Suzuki Adil Zafar Motors,,,Positive,0.5895584692427674
Good work shop for Suzuki car's,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Very bad experience. Non cooperative staff,Suzuki Adil Zafar Motors,,,Negative,0.5791296396742487
"Excellent services...
Keep it up....",Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Grate,Suzuki Adil Zafar Motors,,,,
Good,Suzuki Adil Zafar Motors,,,,
Now a days timings 9 to 5:30,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Staff is not good . Poor management,Suzuki Adil Zafar Motors,,,Negative,0.5088887958765483
"Friendly Staff, Good Service",Suzuki Adil Zafar Motors,,,Positive,0.610285073989355
Good services at reasonable prices.,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Nice service,Suzuki Adil Zafar Motors,,,Negative,0.5113101318982131
Good experience nice staff,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
I received WagonR from them. Experience was average.,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Busy But Good Place for your Suzuki,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Suzuki Showroom and claim department,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Good attitude well organized,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Good service available here,Suzuki Adil Zafar Motors,,,Positive,0.5881235813232714
Good for your car maintainance,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Good workshop and environment,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Its Suzuki showroom and Repair Work shop,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Very friendly and technical staff,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Very famous Suzuki motors cars showroom.,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
A good shorom for all cars and bike's,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Good Experience,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Nice Dealers available for customers,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Cooperative Staff.,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Very poor service don't visit,Suzuki Adil Zafar Motors,,,Negative,0.6054037653776139
?? ??,Suzuki Adil Zafar Motors,,,,
Now they are improving servicr,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Too many Honda's and Toyota being serviced.,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Javad sab need to improve his attitude,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
"Satisfactory services
Good sitting",Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Service was good.,Suzuki Adil Zafar Motors,,,Positive,0.558485538257406
Good place for car service,Suzuki Adil Zafar Motors,,,Positive,0.558485538257406
Nice dealership,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Good dealing and supportive,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
I loved the staff treatment. ?? ??,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Economical & good maintenance for suzuki vehicles,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
It My vehicle check with work shop.......,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Good auto maintenance service,Suzuki Adil Zafar Motors,,,Positive,0.558485538257406
Professional abd quick,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Cooperative staff,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Getting my new car from here. 3S services,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Cooperative staff at worker level.,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Automobile showroom. We buy a car from here.,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Best suzuki vehicle selling point,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Good experience,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Nice showroom,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Having Good Selling Attitude.,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Good Cooperative staff.,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Best services in the market,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Nice staff,Suzuki Adil Zafar Motors,,,,
Average skills and expensive,Suzuki Adil Zafar Motors,,,Negative,0.5791296396742487
Good place for Suzuki cars,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Poor staf,Suzuki Adil Zafar Motors,,,,
Perfect service,Suzuki Adil Zafar Motors,,,Positive,0.5881235813232714
Good place for car maintenance,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Good technical experience.,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Good,Suzuki Adil Zafar Motors,,,,
At least approach in Multan Road,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Good services in town,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
My bro work their,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
New vehicle motors are available here,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Overall good experience,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Good service,Suzuki Adil Zafar Motors,,,Positive,0.5881235813232714
Very coprative staff,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Good car service.,Suzuki Adil Zafar Motors,,,Positive,0.558485538257406
Good worker is there,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Best Suzuki services.,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Too much waiting time..,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Satisfied work of suzuki vahicles,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Good service,Suzuki Adil Zafar Motors,,,Positive,0.5881235813232714
Good Services,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
A good workshop for Suzuki vehicles,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Good ?? ??,Suzuki Adil Zafar Motors,,,,
I'd been their customer,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Service is not good,Suzuki Adil Zafar Motors,,,Positive,0.558485538257406
Not good,Suzuki Adil Zafar Motors,,,,
Adil Zafar Motar Multan Road Lahore,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
On the road easy to find,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Heavy!,Suzuki Adil Zafar Motors,,,,
Very good,Suzuki Adil Zafar Motors,,,,
Good service,Suzuki Adil Zafar Motors,,,Positive,0.5881235813232714
Good services,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Very nice,Suzuki Adil Zafar Motors,,,,
Very good,Suzuki Adil Zafar Motors,,,,
Very busy Access,Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
They are Good,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
"Just okay, nothing special in them ...",Suzuki Adil Zafar Motors,,,Negative,0.5109592678022723
Very bad service,Suzuki Adil Zafar Motors,,,Negative,0.6054037653776139
Need to be less expensive,Suzuki Adil Zafar Motors,,,Negative,0.5791296396742487
One of the good workshops,Suzuki Adil Zafar Motors,,,Positive,0.5605095530746993
Bad service,Suzuki Adil Zafar Motors,,,Negative,0.6054037653776139
Beautiful,Suzuki Adil Zafar Motors,,,,
