Dealership,Total Reviews,Positive %,Negative %,Avg Confidence
HONDA RingRoad,193,69.94818652849742,30.05181347150259,0.5564815579743666
HONDA Township,363,59.50413223140496,40.49586776859504,0.5522556829160993
Suzuki Mini Motors (Gulberg 3),431,54.988399071925755,45.011600928074245,0.5489173100544303
HONDA Fort,349,51.57593123209169,48.42406876790831,0.5498107495122829
Suzuki Adil Zafar Motors,252,51.19047619047619,48.80952380952381,0.5476273526254598
Suzuki Sethi Motors (Town Morr),656,48.6280487804878,51.37195121951219,0.5487497594263184
Suzuki Khalid Motors (Link Ferozpur),360,47.77777777777778,52.22222222222223,0.5464378868676817
HONDA Gateway,356,45.50561797752809,54.49438202247191,0.5478204681866756
FYP-Testing-Data,971,41.60659114315139,58.39340885684861,0.5433592090849984
HONDA Point,375,37.06666666666666,62.93333333333333,0.549266199842377
Suzuki Raiwing Motors (Raiwind Rd),616,0.16233766233766234,99.83766233766234,0.5220934986170954
