wiI7pd,dealership_name,manual_label,review_id
Its very good workshop and 3S dealership one of the largest available in lahore for Honda.,HONDA Gateway,1,1
A better place for solution of all problems regarding your  Honda car under single roof!,HONDA Gateway,1,2
Honda should cancel their 3S dealership bakwas services fraud,HONDA Gateway,0,3
Not providing Honda spare parts to outsiders except to the one who's getting it's work done over the,HONDA Gateway,0,4
3rd Class Services,HONDA Gateway,0,5
Fraud Honda Gateway. Ruin the name of Honda too,HONDA Gateway,0,6
Excellent service standards and welcome reception. Good brand with open heart ? services.,HONDA Gateway,1,7
Need improvement,HONDA Gateway,0,8
"Good staff, cooperative people",HONDA Gateway,1,9
Good service but at a high price.,HONDA Gateway,0,10
Pretty average service,HONDA Gateway,0,11
"Good spot for honda cars for sales and required repairs.
However, they need to really work hard on customer services for the customers who want to get some repair work done there. Their service is not at par by any MEANS.....",HONDA Gateway,1,12
Went there for oil filter of honda city. They declined to sell it.. Said come with car otherwise not available.,HONDA Gateway,0,14
just ok average work too muxh expensive,HONDA Gateway,0,15
"Staff isnt cooperative at all.
You wont feel happy & satisfied at this place dealing",HONDA Gateway,0,16
Good service,HONDA Gateway,1,18
"They know exactly what to do with cars, a bit expensive but worth it.
100% recommended.",HONDA Gateway,1,19
Very cheep rate,HONDA Gateway,1,20
Excellent 3s dealership with good work shop and paint shop.,HONDA Gateway,1,21
Good but very rushy,HONDA Gateway,0,23
Good Showroom,HONDA Gateway,1,24
Space for parking or placing of car is not enough. You have to move your car every time. Also Surveyors attached there are very incompetent and adds unnecessary complications to make you suffer and pay higher only.,HONDA Gateway,0,25
"Good services, courteous staff",HONDA Gateway,1,26
Thank you for the timely delivery as was committed. Loving the ride,HONDA Gateway,1,27
"Honda Service center, Recently I have to repair my car but unfortunately they don't have required spare part. So moving forward to need keep good stock qty in hand.",HONDA Gateway,0,28
"I went to the Asia house today as well but my issue hasn't been resolved. Simply pathetic service overall all from your dealership and honda. Full payment made since August and no date of delivery yet and again and again subjected to price hikes. The management is not only misleading but is bloody rude!!!! There is no clear communication between teams and clients are stuck in thin air. I would never ever ever go through your dealership or advice anyone to do so, unless someone wants to open a can of worms!",HONDA Gateway,0,30
Insurance claim services is still bad,HONDA Gateway,0,31
Very cooperative environment,HONDA Gateway,1,32
Staff supportive but they try to save company not consumer. Consumer or customer is not their priority,HONDA Gateway,0,33
Nice and cooperative staff with quick services..,HONDA Gateway,1,34
Very nice staff and service.,HONDA Gateway,1,35
Patience because the staff is occupied with too much work,HONDA Gateway,0,38
Situated at Multan road opposite to eaden value homes... best car prizes aare there,HONDA Gateway,,39
Worse experience in life. They never respond to call a single time in day. Look at SS below. This is number they had given in booking message to contact about Car delivery. Car dispatch date is gone and theres no delivery after 70 days of 100% Balance payment. Worse experience and Ill go to court now.,HONDA Gateway,0,41
It was very warm and nice as the staff and the work was great,HONDA Gateway,1,42
"Unprofessional staff, Miss commitments again again and again. Unprofessional Attitude.
I suggest no any body visit this show room due my experience is very poor for purchase honda city 1.5",HONDA Gateway,0,43
Soo expensive ? ,HONDA Gateway,0,44
Customer dealing is very poor zero empathy for clients. They won't reissue my delay delivery cheque after my father passed away been 4 months and still going... service center is over priced and not worth going they didn't satisfy me during inspection not recommended (i asked to check my new car is showing some electric errors the electrician put his hand on the fuse box and got the revelation that everything is fine)... not a fan of honda anymore... only person worth meeting is the manager,HONDA Gateway,0,46
"Qualified Staff, healthy environment",HONDA Gateway,1,47
Good environment...proper handling of cars for routinely maintenance...separate waiting area... customer friendly,HONDA Gateway,1,49
HITECH workshop,HONDA Gateway,1,50
Car and bikes is available hare,HONDA Gateway,,51
Excellent Services. Mr. Manazar from Sales is very supportive and cooperative.,HONDA Gateway,1,53
Efficient & co-operative staff...,HONDA Gateway,1,55
Everything at one place but getting expensive day by day,HONDA Gateway,1,57
Have a good experience on Google maps,HONDA Gateway,1,60
Nice service to the customers...quick response,HONDA Gateway,1,61
It's the best company of Honda...!,HONDA Gateway,1,62
"Best Dealership in Lahore.
Best After Sales Services.
Cooperative staff.",HONDA Gateway,1,63
"Poor staff cordination
Customer fully unattended.",HONDA Gateway,0,64
Good Honda service and maintenance although somewhat expensive,HONDA Gateway,1,66
Poor customer relationship,HONDA Gateway,0,67
"My car Honda City Aspire model 2017 was giving abnormal sound intermittently. It seems from camshaft. But mechanic was well trained, he directly pinpoint the problem of AC compressor loose bolts. Problem resolved in few minutes.",HONDA Gateway,1,68
Received Honda City  Inspires 22 fully loaded Auto for my Elder Daughter N.Qaiser.,HONDA Gateway,1,70
They're continuously increasing prices either it's car or parts or even the motor oils. Also they've increased labor rates to far out of it's peak. I mean who's gonna charge 20k labor to change a coil only? Disgusting,HONDA Gateway,0,71
"I had an issue with the car engine, which they couldn't resolve unfortunately.

Hello Sir, you asked for the date of visit and the car #. So here it is. Please respond so that I can explain. Thanks.
Date of visit 1-August 2022.
Car number: LEA 3261

20 Sep 22
There is no response from Honda gateway on my above issue.",HONDA Gateway,0,72
Kam mahnga a par serivice changi dendy ne . A1 PA G,HONDA Gateway,1,73
Good service,HONDA Gateway,1,74
Good dealer,HONDA Gateway,1,75
Parts not available,HONDA Gateway,0,77
"First off, it is right at the start of Lahore on main GT road, before Tokhar Niaz Baig stop, which makes it accessible. But if you are coming from Askari 11, like I was, it is way too far.

Maintenance Shop:
Service centre has two shops, on ground floor, maintenance, electrical and engine works.

Body and Paint Shop:
It is below the ground floor in basement. Attaching pictures so you can see.

My review of the maintenance shop is that their response/customer service is good, but work is average. I had 120,000 KM inspection done which included Alignment and balancing but their alignment was not upto the mark.
They did not have parts for my car...didn't have a simple Air filter for Civic Reborn. They focused on replacement of parts rather than maintenance and the irony is they didn't have the parts. So as I said, average.

Now the paint shop, the same, response is good. They guy who entertained me(M. Pervaiz) was very helpful and took out time from his break time to see my car. Same story with parts, they didn't have reborn bumper or mudguards. They got China made parts and had them painted. Same foucus on replacement rather than repair.

Overall the People are responsive and supportive.",HONDA Gateway,,78
Informative,HONDA Gateway,1,79
Good place for Car purchasers,HONDA Gateway,1,80
Very bad Service n not customer care,HONDA Gateway,0,81
Good service and good staff,HONDA Gateway,1,82
Like always a satisfied customer. Salman guy here is really experienced and intelligent,HONDA Gateway,1,83
Lovely place ?? ,HONDA Gateway,1,84
Professional customer service.,HONDA Gateway,1,85
"Good service, satisfied Mr.Main Umair sahib is a very cooperative person there.",HONDA Gateway,1,86
Good service & Guest area,HONDA Gateway,1,87
Well equipped Honda workshop for cars.,HONDA Gateway,1,89
great service area. staff is very helpful.,HONDA Gateway,1,90
The dealership have un matched space but uncooperative staff,HONDA Gateway,0,91
Fast service,HONDA Gateway,1,92
Insurance can be claimed there in the basement. Service station is in ground floor.,HONDA Gateway,,93
