wiI7pd,dealership_name,manual_label,review_id
"Wonderful place, great experience.",HONDA Point,1,1
I have a good experience with Honda point because it has reasonable prices and staff was polite,HONDA Point,1,3
Good workshop,HONDA Point,1,5
"Gd gob
Great work
Fast service",HONDA Point,1,6
Satisfactory service. Labour charges are through the roof though.,HONDA Point,1,7
Good service level,HONDA Point,1,8
"Professional and satisfactory service, courteous behavior and reasonable charges",HONDA Point,1,9
Getting very expensive day by day.,HONDA Point,0,10
Service is good but too expensive??,HONDA Point,0,11
Staff working there tries to cheat the customer. They charge extra amount in some way or the other.,HONDA Point,0,12
Good show room,HONDA Point,1,13
Good sale and service center,HONDA Point,1,16
??I bought a car them good people ??,HONDA Point,1,17
Nice to good work ki maker,HONDA Point,1,19
"They do not want to work
Very casual staff
They are boss",HONDA Point,0,20
Pathetic people,HONDA Point,0,21
Khuda bukhsh colony k pass hy airport road to bhatta chowk,HONDA Point,,22
My experience with Honda point Near Airport is to  bad. Their services are worst and lazy. I booked a back bumper  but after a lapse of a fews days my payment has not been paid to Honda Pakistan Limited. As per company policy booking is on first come first serve basis. Due to this delay  of Honda Point company will deliver the vehicle late . Who will be responsible for the delay and if price will increase who will be responsible. I am calling on phone but no one is attending. Pathetic services.I advise every one to book your vehicle on some other Honda showroom. Commitment of Honda pilot is fake.,HONDA Point,,23
My experience with Honda point Near Airport is very bad. Their services are worst. I booked HRV but after lapse of four days my payment has not been paid to Honda Pakistan Limited. As per company policy booking is on first come first serve basis. Due to this delay  of Honda Point company will deliver the vehicle late . Who will be responsible for the delay and if price will increase who will be responsible. I am calling on phone but no one is attending. Pathetic services.I advise every one to book your vehicle on some other Honda showroom. Commitment of Honda pilot is fake.,HONDA Point,,24
Mediocre services .,HONDA Point,0,25
"There estimate is very high and not acceptable, better to work from outside",HONDA Point,0,27
Staff is Good and expirience is good,HONDA Point,1,28
The show room is really nice and the design of showroom Building is also very nice.,HONDA Point,1,29
Absolutely nice experience all are sophisticated well mannered and skilled mechanics/ technicians,HONDA Point,1,30
Honda Point is one of the worst car dealerships you will find in Lahore.Staff is rude and abusive.From sales person to the manager no one takes responsibility. Worst experience ever and its not the first time two times in four years.,HONDA Point,0,31
Quick and courteous,HONDA Point,1,32
Staff need training on professionalism. Abusive language,HONDA Point,0,33
Never expect a service from them. It's like someone gives you pathetic full of arrogance service and the charges you 2 times for that from market rate.,HONDA Point,0,34
"Courteous and supportive staff (based on my experience). Service level has been good so far for my vehicle.

Each visit boosts the trust.",HONDA Point,1,35
Organized and good service center staff is professional part's and accessories prices are on higher side compared with others dealt in genuine part's,HONDA Point,1,36
"I would avoid Honda Point. I went for a oil change. Instead of seeing a customer service staff, I was moved between four different staff members. The whole operation was based in a stuffy, hot and smelly workshop area. I highlighted the issue everyone I met there and they all blamed their management. This shows that the Honda Point is being run by inefficient managers who don't know even the basics of customer service or about the concept of one stop customer service. I will never visit them again but also advise you to research if other Honda dealerships are offering better service.",HONDA Point,0,37
"Aug 10. 5:30.
No proper arrangements for water. There's no drinking glass, I asked multiple time for water glass and no one bothered. Aal they were saying ""larka nahi hay""",HONDA Point,,38
Tax evasion at it's finest,HONDA Point,,41
Better than rest but service is not very fast,HONDA Point,1,42
Good experience....,HONDA Point,1,43
Had my seat covers changed and the experience was great.,HONDA Point,1,45
Good 3S service providers,HONDA Point,1,46
Excellent place for maintenance. Simply says thugs free workshop.,HONDA Point,1,47
Quick service for most of time. Clean workshop. Professional  staff.,HONDA Point,1,49
"Poor service
Unprofessional staff  ???· ??",HONDA Point,0,51
"Have a poor experience with them. They have to issue me a cheque since last 1 year. And they say that it is honda atlas domain. No o e is ready to help. Poor after after sales services.
Still same comments.",HONDA Point,0,52
Improved services and cooperative staff,HONDA Point,1,53
Good services & staff very cooperative,HONDA Point,1,54
Good service,HONDA Point,1,57
Good services but a little expensive.,HONDA Point,1,58
They provide good after sale services...,HONDA Point,1,59
They provide good sevices,HONDA Point,1,60
"All were fine except one guy who was rude with his own colleague.

Regards,
Daniyal Hussain",HONDA Point,1,63
Didn't feel welcomed at all. No one get bothered to ask if I want to get the details on their new cars. Then we eventually ask one person and he helped us like it was one of ther hardest jobs he was doing. Usually salesman at dealership are welcome and active.,HONDA Point,0,64
Just okay service.,HONDA Point,0,65
Normally they provide okay services. But one time they installed defective product and I had to waste my time arguing with the management to get a refund.,HONDA Point,0,66
"I?? new to town and went to this place for periodic maintenance of my car.. because of the pathetic and unprofessional attitude of their staff who receive cars in the service section, I immediately left and went to another Honda dealership..",HONDA Point,0,67
It's always a good experience,HONDA Point,1,68
"Nice place ample of parking, staff is energetic, helpful but they don't have good Choice of a car for sale, heavy own, Honda city delivery after five months on booking.",HONDA Point,1,69
Poor Service...Miscommitments,HONDA Point,0,70
Very good staff,HONDA Point,1,71
Great experience,HONDA Point,1,72
Parts are not available,HONDA Point,0,74
This is the best Honda sale point of lahore..!,HONDA Point,1,75
Good service,HONDA Point,1,76
Expensive and late service,HONDA Point,0,77
Nice infrastructure,HONDA Point,1,78
Efficient service and very cooperative Staff,HONDA Point,1,79
Excellent point to maintain your honda,HONDA Point,1,80
Never book car with them. Worst experience ever.,HONDA Point,0,81
"As compare to Toyota Airport they are very unprofessional.
Staff is always willing for tip.",HONDA Point,0,83
Excellent service experience,HONDA Point,1,84
Staff isn't corporated. Poor managment,HONDA Point,0,85
Friendly staff and good service,HONDA Point,1,86
"The upper management is often misleading there, and doesn't cooperate often. If there is a lot of cars, expect to be waiting around an hour or so. Otherwise, I usually go here for my car's regular checkup and maintenance. The staff and crew are usually the ones that are really helpful.",HONDA Point,0,87
