wiI7pd,dealership_name,manual_label,review_id
Good honda center you can purchase the new brand honda cars from here,HONDA Township,1,1
"First time went there, staff was courteous, they gave a free of charge advice to test out the car and gave some pointers.",HONDA Township,1,2
"Alhamdulillah, Lord of the worlds",HONDA Township,,3
Excellent services,HONDA Township,1,4
"Professional services with qualified staff. I visit ""Honda Township"" for my ""Honda City"" regular check-ups and maintenance, and I am very much satisfied.",HONDA Township,1,5
Good experince. Educated technical staff. Cleen environment.,HONDA Township,1,6
I found it the best Honda point as compared to others like Samnabad.,HONDA Township,1,7
Most memorable place and cooperative place,HONDA Township,1,8
Nice Honda dealership and maintenance services. Courteous people.,HONDA Township,1,9
Very unprofessional staff. Not recommended.,HONDA Township,0,10
Over priced,HONDA Township,0,11
"Good service quality, probably the best Honda service center in Lahore",HONDA Township,1,12
Honda sale purchase and service center,HONDA Township,,14
Kuch mechaniqs khud he passay zayada bol daitay but ap senior se pehle clear,HONDA Township,0,15
Car maintenance work is good,HONDA Township,1,16
Best experience,HONDA Township,1,18
The workshop staff is very good. They don't let you get worried about your car. Ever. The best guy to meet is Irfan. He is a supervisor I think. He knows his stuff and always makes sure that he can guide you in the best way possible. He's always ready for a challenge and gives you honest advice,HONDA Township,1,19
"Poor management and commting mis commitments.

Collecting money from general public for booking of oriel and are unable to give its delivery",HONDA Township,0,23
"False commitments and ignorant attitude.

Car Dealerships have become a scam.

I booked a Car from Honda Township Motors Lahore in February, 2022. As per agreement, delivery was scheduled for November, 2022. Nearly a year has passed but. Rather than solving the problem, they ask for more money for another model which is more costly and a further delay in delivery.

1 year in waiting for the car and yet, all you get is excuses. Where do you go? What do you do? There is no one to question Honda Township Motors",HONDA Township,0,24
"False commitments and ignorant attitude.

Car Dealerships have become a scam.

I booked a Car from Honda Township Motors Lahore in February, 2022. As per agreement, delivery was scheduled for November, 2022. Nearly a year has passed but. Rather than solving the problem, they ask for more money for another model which is more costly and a further delay in delivery.

1 year in waiting for the car and yet, all you get is excuses. Where do you go? What do you do? There is no one to question Honda Township Motors",HONDA Township,0,25
Good workshop,HONDA Township,1,26
"Biggest Pakistan Honda township showroom
Al facilities good ?? ??",HONDA Township,,27
Honda showroom and pindi stop,HONDA Township,,28
You have to visit1st,HONDA Township,,29
Nice dealership for Honda lovers,HONDA Township,1,30
"Bought a City Aspire from this dealership. Mr. Samar was the person who dealt with me. I would say that the services provided by Mr. Samar from the start of the deal until the delivery of my required car file and smart card were simply marvelous. He was very patient and clarified all my queries in the beginning and then he delivered everything well before time, whether it was the car itself or the registration documents. This was the best experience I could imagine from a car dealership and only because of Mr. Samar.
Many thanks to Mr. Samar. I really fall short of words to express the good services he provided. Whatever he promised, he was always well before time to deliver. Very patient, courteous and humble person. Thank you again.",HONDA Township,1,31
Honda city new 2021 onward very bad experience about car sub standard car I am facing problem many Total milage is 18000 but tyres are out of order service Honda is giving to user is very bad,HONDA Township,0,32
It was expensive but has good workmanship,HONDA Township,0,33
Staff is helpful and cooperative.,HONDA Township,1,34
"1.5% extra charges on cards
Hard to understand",HONDA Township,,35
Very cooperative and skilled staff. Neat and clean. Great work,HONDA Township,1,36
Good satisfactory experience.,HONDA Township,1,37
It was good for high rates,HONDA Township,1,38
Sale Manager Samar sab is very good Person,HONDA Township,1,39
Perfect location,HONDA Township,1,40
Very good service,HONDA Township,1,41
Good experience,HONDA Township,1,42
Very good customer service.,HONDA Township,1,43
Expensive but perfect!,HONDA Township,1,44
Pecoo road is one of the busiest road of Lahore...Be cautious to drive here,HONDA Township,,45
Parking issues.,HONDA Township,0,48
Good service,HONDA Township,1,49
Excellent staff service,HONDA Township,1,50
Lovely cooperative Staff,HONDA Township,1,52
Good 3S dealership for Honda very friendly staff,HONDA Township,1,54
Very Professional Staff. GOOD Tea and Coffee For Customers,HONDA Township,1,55
"Good service center specially mechanical team is great ??

Professional workers with a great working attitude. ??",HONDA Township,1,56
Its a 3S Honda authorized dealership locating on pindi stop. Ranking 1st in Pakistan on the Bases of its Services. Expensive but best place to tune-up your Car Engine.,HONDA Township,1,58
1 star off for the absurdly high prices for parts. The staff and everyone else was awesome.,HONDA Township,0,59
Small showroom with not enough vehicles on display. Staff was very courteous and friendly who helped with all the information I needed in detail,HONDA Township,0,60
No one picks your call,HONDA Township,0,61
"Best Honda workshop, excellent mechanic and workforce",HONDA Township,1,62
Good experience,HONDA Township,1,63
Obviously a perfect,HONDA Township,1,64
Good service so far. But a bit expensive,HONDA Township,1,65
Worst experience with Honda bought new city and next day gives fault,HONDA Township,0,66
Good service point. They should have vacuum cleaner for cars.,HONDA Township,1,67
Please share the latest price for 2015 honda city  1.5 oil change and tuning,HONDA Township,,69
One of the best honda service center in Lahore,HONDA Township,1,70
It was really good to visit honda township. Staff was professional and well trained. Have good nice welcome. Talk honest not like Kia and other showrooms ??,HONDA Township,1,71
Staff is out of mind not a professional,HONDA Township,0,72
"Honda car mechanical, automotive and body works services available. Routine parts readily available. Service Quality is good.",HONDA Township,1,73
Excellent behaviour guid help full friendly environment,HONDA Township,1,74
Good dealership but need to focus on their system,HONDA Township,,75
Nice staff Good services,HONDA Township,,77
Very Expensive,HONDA Township,0,78
Best place in town for Honda Vehacle Burying and services.,HONDA Township,,79
Excellent Service.,HONDA Township,1,80
Astonished to see the extra charge on using bank cards (debit/credit).....a silly way of handling customers....,HONDA Township,0,81
Good courteous staff.,HONDA Township,1,82
Amazing staff and services,HONDA Township,1,83
Honda workshop moved to new location.,HONDA Township,,84
Very good service  thanks to omer Khalid Bhai ??,HONDA Township,1,85
Nice experience.,HONDA Township,1,86
Good place for car purchase and repairing,HONDA Township,1,87
It comes below my exceptation.They dont fulfill there comitment.i face very trouble i never recomand to any other person.The staff is not loyal with there work and client.,HONDA Township,0,88
Too goooooood,HONDA Township,1,89
Good staff and huge setup of workshop. For routine maintenance they took less time than any other workshop and have genuine Honda parts available.,HONDA Township,,91
Great service. The place was spotlessly clean and the crew was very helpful. It's pretty far from where I luce but I don't mind the travel if the service is this good.,HONDA Township,1,92
Very good display and service,HONDA Township,1,93
Amazing experience operative staff ,HONDA Township,1,94
"A dealership to purchase Honda vehicle.
Staff is friendly and curtious",HONDA Township,,96
Bad experience,HONDA Township,0,98
The stuff appeared very cooperative and helpful. But I found their rates slightly on higher side.,HONDA Township,0,99
it is not a long queue place. you can get your car check/repaired within no time. morning timmings are preferable if you want to save your time,HONDA Township,0,100
"Nice people, quite helpful for ur car services as well as guidance",HONDA Township,1,101
Excellent services,HONDA Township,1,102
Good Service,HONDA Township,1,104
Nice service,HONDA Township,1,105
No experience,HONDA Township,0,106
Service is detiorating.....,HONDA Township,0,107
Good quality work. Timely service. Friendly people.,HONDA Township,1,108
"Well! Its good place but when you want to buy any oil from there, they said that they can not give you as I have to take my car there and give them service charges. Feel monopoly for the products of Honda. 2 stars only for Sale service center as they are very nice and cooperative. Service center head adil Sir not available when I complain rest stuff help me except the person who deal with Honda Gear Oil.",HONDA Township,1,109
It Was Just  A Good Visit...,HONDA Township,1,112
"Staff is very professional and helpful in any kind of maintenance and parts replacement, they assist very professionally and guide for right services. I always prefer honda township (Near to pindi stop peco road) for my vehicles maintenance and spare parts replacement
Highly recommended",HONDA Township,1,113
If you do payments with card they will charge 2% extra while is really bad who uses cash specifically in covid.,HONDA Township,0,114
"Ok to buy a car, neat environment",HONDA Township,1,115
Excellent Honda showroom,HONDA Township,1,116
They identified the wrong fault. Parts not available. Finally advised to take car elsewhere for repairs. Charged 2500 for doing nothing.,HONDA Township,0,117
Good service and sales center,HONDA Township,,118
Costumer support was great and I found them well dressed while they were briefing about new Honda city 2021.keep up good work.,HONDA Township,,119
I received support and presentation by service manager for honda city 2021 model.,HONDA Township,,120
Very good dealing,HONDA Township,,121
