wiI7pd,dealership_name,manual_label,review_id
"When Khalid motor started working, it was amazing in services, timely and efficiently, but with time as it goes older services get declined. Staff do things unprofessional and services was disappointing, for one things need several visit to fix.
It's just ok",Suzuki Khalid Motors (Link Ferozpur),0,1
"On my last visit 3 days ago, the sale  person (arslan) who was dealing me dodged with me. He asked me to do those works that are not required by my new car at this time. Secondly, he charged me the most expensive engine oil without",Suzuki Khalid Motors (Link Ferozpur),0,2
"Staff isn't very warm .
They do ok but hide many things and charge u later .",Suzuki Khalid Motors (Link Ferozpur),1,3
Very competent and courteous staff. I've gotten my car repaired twice from KM and it was super.,Suzuki Khalid Motors (Link Ferozpur),1,4
Parking issue and need to enhance the services setup especially for suzuki customers,Suzuki Khalid Motors (Link Ferozpur),0,5
Staff is very kind and cooperative from top to bottom management. We had a great experience buying our first car from there.,Suzuki Khalid Motors (Link Ferozpur),1,6
"Axha experience rha, 10 mint main kam krdia. Very experience and trained people are there.",Suzuki Khalid Motors (Link Ferozpur),1,7
Suzuki khalid motors is authorized dealers from suzuki motor company they provide genuine parts service maintenance denting penting and many more they deal in used and new cars. We,Suzuki Khalid Motors (Link Ferozpur),1,8
Their service + staff is really great. They are loyal with their work. Treat the vehicle as their own.,Suzuki Khalid Motors (Link Ferozpur),1,9
"Staff is very skilled and coprative. But main issue is with price. They charge alteast 2x on parts. In same thing is available at half price.

For staff its 5/5 no issue with staff.",Suzuki Khalid Motors (Link Ferozpur),1,10
Though the weather was too hot but I really enjoyed it. I especially admire the cooperative staff of M/s Khalid Motors,Suzuki Khalid Motors (Link Ferozpur),1,11
Overall good experience Staff was good but only prices are so high,Suzuki Khalid Motors (Link Ferozpur),1,12
"The salesman was very well-coming and clearly explained about the product inquired about. Also brochure was available which proved very helpful in my purchase process.

However they need to improve after sales services.",Suzuki Khalid Motors (Link Ferozpur),1,13
A huge showroom with a well trained staff but due to a big gathering service feels slow sometime....,Suzuki Khalid Motors (Link Ferozpur),1,14
"I would not recommend anyone to go through Suzuki Khalid Motors Lahore.

As they are highly unprofessional will not pick your calls and you have to visit them to no avail and will make you do rounds around the Dealership and Suzuki Regional Office. Its been more than 2 months and they are saying car will come in 1 or 2 days Regardless knowing anything as they have ZERO information.

So save your time and dont book anything from this particular dealership and youll thank be later.",Suzuki Khalid Motors (Link Ferozpur),0,15
"Very good and quick service...
There is room for Improvement in Insurance Claim Department... If your Insurance Company is efficient and responsive then you will get your query resolved at earliest otherwise you have to wait for long time for your turn...",Suzuki Khalid Motors (Link Ferozpur),1,16
Well trained staff to take care of your Suzuki vehicles.  Advance appointment is better idea to save your time. Timings are from 9 to 6 sharp. Highly recommended for quality service.,Suzuki Khalid Motors (Link Ferozpur),1,17
There mechanics are good and experienced but the rate of parts is very high. The difference of cost between the parts available in the market and from suzuki workshop is more than 7-8 times. So visit them if you have lot of spare money.,Suzuki Khalid Motors (Link Ferozpur),1,18
Friendly people there they guide you for the best choice,Suzuki Khalid Motors (Link Ferozpur),1,19
"I went there for purchasing Suzuki Alto VXR, Sales Deptt demand 200000 RS in terms of Own Payment otherwise asked me to waite for 4 months.
What a nonsense!!!!!!!!!!",Suzuki Khalid Motors (Link Ferozpur),0,20
"Very poor people, I visited and they forced for their kind of a package for wheel alignment,  balancing etc. My cultus was total out of balance bubling, whenever stop on signal the ignition used to stop, before their all this package the",Suzuki Khalid Motors (Link Ferozpur),0,21
Bought our car from here and good after service by the team here.,Suzuki Khalid Motors (Link Ferozpur),1,22
Great service. I bought a car nearly 2 months ago and the staff was very good. I got a good response from them. Also they explained me everything clearly about the car's service. I am really impressed.,Suzuki Khalid Motors (Link Ferozpur),1,23
"Its a Suzuki 3S facility, Staff is polite and well mannered. They are cooperative and experienced. Neat and clean environment.
Parts are bit expensive.",Suzuki Khalid Motors (Link Ferozpur),1,24
"Very good services , especially staff is very cooperative and caring",Suzuki Khalid Motors (Link Ferozpur),1,25
"This time my experience was very bad. I was told to pay Rs 5550/- as total charges of the job done whereas I was given two payment bills amounting to Rs.3850/-. So,in this way, I have been charged Rs.1700/- extra by Khalid Motor's cashier. What can you help me in this regard?
Prof. Waqar Azeem.",Suzuki Khalid Motors (Link Ferozpur),0,26
"Even if they know that problem is little, they will ask you that this problem require something which cost you big amount, after  your agreement, they will fix it in 5 minutes. Everything problem is further divided into subproblems, just to make extra money. This is mentality of these certified technicians of Khalid Motors",Suzuki Khalid Motors (Link Ferozpur),0,27
You can book and buy all Suzuki vehicals from this place. All the employees are very nice and co-operative here.,Suzuki Khalid Motors (Link Ferozpur),1,28
"A fully equipped workshop having 5S Services.
Good customer care attitude located near LOS stop off ferozpur road",Suzuki Khalid Motors (Link Ferozpur),1,29
"Staff is good and co-oprative
Customer services are also good",Suzuki Khalid Motors (Link Ferozpur),1,30
Good customer service,Suzuki Khalid Motors (Link Ferozpur),1,31
"Friendly environment, excellent service",Suzuki Khalid Motors (Link Ferozpur),1,32
"Good service and waiting room. Friendly environment for females, they have a few female employees, great to see gender balance in a work shop/auto showroom.",Suzuki Khalid Motors (Link Ferozpur),1,33
Called them up number of times but they never picked it up and visiting them was very surprising as well - because they were not very receptive and anything I asked them - they didn't have it and were not sure about it.,Suzuki Khalid Motors (Link Ferozpur),1,34
Had problem with wrongly quoted prices plus bought a new car with most of the nuts/fender/bonnet out of alignment. Break time from 1 pm to 2 pm. It's a okay place to go too not too customer oriented. If you're in for checkup you have to accompany your car or else risk not so good servicing as the foreman is always in a hurry.,Suzuki Khalid Motors (Link Ferozpur),0,35
"Purchased two GS 150 SE from this showroom. The team is very cooperative, understanding and the Bikes were great. The showroom is really big and they sell both cars and bikes.",Suzuki Khalid Motors (Link Ferozpur),1,36
"Had a very loyality diverting experience, this is not for what you go to 3s dealership so they can lie to you just to make some money, this is what road side mechanics do.
I own a 05 baleno, and am a regular customer of Suzuki Samanabad motors but this time I wanted to get my car checked with scanner that they didn't had so they asked me to check this one (Suzuki Khalid motors) when I reached here I explicitly asked from person who did registration to mechanic that will this tuning have a scanner check and they kept saying they will have it scanned at the end of remaining work and at end they simply called an old guy, not so cooperative, who said they don't have scanner for this model. and instead of apologising or doing something, he was continuously trying to blame it on me by making excuses like no one no more have scanner for these. Though other people in market have it.
Piece of advice:- don't ever go to Khalid motors, you go at these places for peace of mind,which you won't get here, if you have to keep at check on everything better do it from road side mechanic for 1/3 of price.",Suzuki Khalid Motors (Link Ferozpur),1,37
A very good customer service experience regarding Suzuki vehicles,Suzuki Khalid Motors (Link Ferozpur),1,38
"Cheaters
I have Visited Suzuki Center For Car AC service They told me to fill Gas once more as older one depleted. I checked another suzuki center the answer was same Then i went to punjab Car A.C he just adjusted the setting and told me No need For Gas, Or A.C service as car was mehran 2018 Model I got surprised on fraudish behaviour of Suzuki centers Staff.",Suzuki Khalid Motors (Link Ferozpur),0,39
Staff is cooperative and  waiting area is well maintained,Suzuki Khalid Motors (Link Ferozpur),1,40
"One of the best showroom , and work shope for suzuzki vehicles in lahore.",Suzuki Khalid Motors (Link Ferozpur),1,41
Body and paint shop is overwhelmed by management errors. They only take in cars on Mondays and there is only 1 lift to reach 2nd floor and it literally takes 15min for clearing a single car to the floor. Had to stand in que for 1hr 45min to get my car to the assigned floor. Pathetic Service!,Suzuki Khalid Motors (Link Ferozpur),0,42
Good cooperative staff..All Suzuki cars variety available...testing facility,Suzuki Khalid Motors (Link Ferozpur),1,43
"It good building have suzuki vehicles booking facility but the personnel are out laws,they secretly misuses the vehicles if it is kept in their custody for repair work especially danting n painting. They take the vehicles out of the workshop n misuse it  for their personal use.",Suzuki Khalid Motors (Link Ferozpur),1,44
"Nice and Good Dealership of Suzuki cars in Lahore. 3 s dealership at lahore ferozpur road. Body paint, mechanical works. Parts sale and service. New cars sale. After sale service facility. Warranty claim center.",Suzuki Khalid Motors (Link Ferozpur),1,45
They usually do charge more than the market for the services they provide and if you dont have an insured car and you are going for repairment  of your dented car they will charge allmost thrice of the market rate.,Suzuki Khalid Motors (Link Ferozpur),0,46
Very good services and friendly atmosphere,Suzuki Khalid Motors (Link Ferozpur),1,47
The worst experience ever. Non acceptable behaviour of  Advisors and Manager. No working sense found in technicians.,Suzuki Khalid Motors (Link Ferozpur),0,48
Very good experience because I have purchased new car alto vxr also very good service,Suzuki Khalid Motors (Link Ferozpur),1,49
Not bad service just okay but still four star because of the beautiful building,Suzuki Khalid Motors (Link Ferozpur),0,50
"Good facility on a very busy road, providing 3S services  sale, service & spares. Sales department is quite active and smart in their business.",Suzuki Khalid Motors (Link Ferozpur),1,51
Good service but very high price some mechanics are honest and good,Suzuki Khalid Motors (Link Ferozpur),1,52
Well organized the  Suzuki Motor Showroom and workshop by Khalid Motors.,Suzuki Khalid Motors (Link Ferozpur),1,53
They have experienced staff. Good place for routine maintenance. But parts are expensive.,Suzuki Khalid Motors (Link Ferozpur),1,54
Their staff is Amazing!!,Suzuki Khalid Motors (Link Ferozpur),1,55
"Service Manager is not a professional guy.
He don't know how to deal with customers.
Sales team is good",Suzuki Khalid Motors (Link Ferozpur),0,56
Very busy work shop but good staff,Suzuki Khalid Motors (Link Ferozpur),0,57
GOOD SERVICE FOR PARTS AND BODY SHOP BUT STAFF IS NOT COOPERATIVE,Suzuki Khalid Motors (Link Ferozpur),1,58
Good service.. polite and cooperative staff... Complete their tasks on time.!,Suzuki Khalid Motors (Link Ferozpur),1,59
"Experiend stàf here
Sab g excellent",Suzuki Khalid Motors (Link Ferozpur),0,60
Good Service by Suzuki Khalid Motors,Suzuki Khalid Motors (Link Ferozpur),1,61
Good service,Suzuki Khalid Motors (Link Ferozpur),1,62
good services and environment.well behaved customer care executive.overall very good experience.,Suzuki Khalid Motors (Link Ferozpur),1,63
Staff needs improvement regarding customer handling. Very poor staff training.,Suzuki Khalid Motors (Link Ferozpur),1,64
"Its 3S Suzuki Showroom. 3S stands for ""Sales, Service & Spare Parts""....... Its professionally being run by Mr. Khalid Sethi who is brother of Khawar Sethi, the owner of ""Sethi Motors"" another 3S showroom in Lahore. So one can say  Suzuki Khalid Motors is being professionally run by a professional family who has their family business.....",Suzuki Khalid Motors (Link Ferozpur),1,65
Suzuki khali motors is a suzuki showroom. U can have a good car. Mr jibran is a sales man here u ca n contact with him. Yhe manager was down to earth man.,Suzuki Khalid Motors (Link Ferozpur),1,66
Great showroom for suzuki cars. If you want a suzuki car this is the best place. You will find all the information through friendly staff and so many options available at the showroom.,Suzuki Khalid Motors (Link Ferozpur),1,67
It was nice visiting there. Staff was cooperative and the rate you get from there is the cheapest as compared to Suzki distributors.,Suzuki Khalid Motors (Link Ferozpur),1,68
Good but as usual staff is not cooperative,Suzuki Khalid Motors (Link Ferozpur),0,69
Nice place for all matters about Suzuki cars,Suzuki Khalid Motors (Link Ferozpur),1,70
It's a good showroom but marketing staff is never in mood to show you around a car or offer a test drive.,Suzuki Khalid Motors (Link Ferozpur),0,71
Good experience,Suzuki Khalid Motors (Link Ferozpur),1,72
trkki to make money,Suzuki Khalid Motors (Link Ferozpur),,73
Very unprofessional staff. Don't bother to deal customers waiting for their attention. Remain busy in phones and other activities.,Suzuki Khalid Motors (Link Ferozpur),0,74
"Ghatia used card section badtmezz Staff
Abusing with customers
Ghatia tareen suzuki dealers",Suzuki Khalid Motors (Link Ferozpur),0,75
Great Customer Service. Bought my all new GS150SE. 100% Satisfied?,Suzuki Khalid Motors (Link Ferozpur),1,76
"Denting and painting department of Khalid Motors is very Disappointed
Specially Mr.Zeshan head of painting department is very disappointing .
The boy junaid assistant of paint department is  also very disappointing .
Don't go there for paint & denting purpose.",Suzuki Khalid Motors (Link Ferozpur),0,77
Now their labour rates are going to higher side but eorker are competent,Suzuki Khalid Motors (Link Ferozpur),0,78
Best Car technical services place where you are properly guided by staff about your vehicle and you get experienced mechanics,Suzuki Khalid Motors (Link Ferozpur),1,79
"I got delivery of my new car from Khalid Motors. They charged Rs.3000 against car registration commission and once I asked to install number plates they demand extra money.

Very pathetic staff and customer service.",Suzuki Khalid Motors (Link Ferozpur),1,80
"Near to main road, parking facility outside showroom. Generally good reputation",Suzuki Khalid Motors (Link Ferozpur),1,81
Having very bad experience. No one going to listen you.for service etc..pathatic service,Suzuki Khalid Motors (Link Ferozpur),0,82
menager is co operatiave. finally some companey dealers with smiling face and possitive attitude,Suzuki Khalid Motors (Link Ferozpur),1,83
Very worst place ever visited. I will recommend people to not visit this place. Sethi motors or mini motors much much much better then them.,Suzuki Khalid Motors (Link Ferozpur),0,84
They are very good in their jobs specially body and paint shop.,Suzuki Khalid Motors (Link Ferozpur),1,85
Manager behaviour is not good and cleaness condition worse.,Suzuki Khalid Motors (Link Ferozpur),0,86
Big show room and work shop good service's,Suzuki Khalid Motors (Link Ferozpur),1,87
The Services are Normal But The Spare Parts Prices are Sky rocketing. I would not suggest Buying Spare Parts from Their Spare Parts Shop.,Suzuki Khalid Motors (Link Ferozpur),0,88
Good experience made here in Khalid Suzuki Motors...,Suzuki Khalid Motors (Link Ferozpur),1,89
"They are Pak Suzuki's authorized dealer. They sell Suzuki vehicles,  Spare parts and provide repair and maintenance services.",Suzuki Khalid Motors (Link Ferozpur),1,90
They did nice work,Suzuki Khalid Motors (Link Ferozpur),1,91
Worst customer service when it comes to suzuki service centers. Workers are untalented and ignorent along with management.,Suzuki Khalid Motors (Link Ferozpur),0,92
Good dealing but there phones always goes busy.,Suzuki Khalid Motors (Link Ferozpur),1,93
Good services for Suzuki Cars. With professional workers,Suzuki Khalid Motors (Link Ferozpur),1,94
"Excellent service, friendly staff.",Suzuki Khalid Motors (Link Ferozpur),1,95
Bought Suzuki Wagnor VXL yesterday,Suzuki Khalid Motors (Link Ferozpur),,96
Mr. Zeeshan (Body & Paint) Manager behaviour is not up to the mark. Very bad experience.,Suzuki Khalid Motors (Link Ferozpur),0,97
Abdul Rehman True Leader of this company,Suzuki Khalid Motors (Link Ferozpur),,98
Sportive staff,Suzuki Khalid Motors (Link Ferozpur),1,99
Nice staff best price and fast lane workshop available for Suzuki Vehicles,Suzuki Khalid Motors (Link Ferozpur),1,100
"You can get any of your Suzuki car fixed or u can buy some of the Suzuki cars here...
Thx 4 reading please like.
Regards",Suzuki Khalid Motors (Link Ferozpur),1,101
Good workers. But paint Shops staff is very arrogant.,Suzuki Khalid Motors (Link Ferozpur),1,102
Cooperative staff... Almost neat n clean atmosphere...,Suzuki Khalid Motors (Link Ferozpur),1,103
Amir manager of mechanical work is very competent and always wellcome.,Suzuki Khalid Motors (Link Ferozpur),1,104
Good advices which are beneficial for customer,Suzuki Khalid Motors (Link Ferozpur),1,105
Good showroom especially workshop is very good.,Suzuki Khalid Motors (Link Ferozpur),1,106
"Customer care , service and work completion time all are average",Suzuki Khalid Motors (Link Ferozpur),1,107
Very good staff,Suzuki Khalid Motors (Link Ferozpur),1,108
"Buy new car.
Repair baher se kerwaoo",Suzuki Khalid Motors (Link Ferozpur),,109
"Service needs improvement. System was down, debit card payment option was out of order.. the job order guy was not satisfactory",Suzuki Khalid Motors (Link Ferozpur),0,110
An authorized dealership of Paksuzuki motors company serving the city in sales service and spareparts as well as used car exchange.,Suzuki Khalid Motors (Link Ferozpur),1,111
Good staff with average work quality,Suzuki Khalid Motors (Link Ferozpur),1,112
Well organized dealership operations and good customer satisfaction.,Suzuki Khalid Motors (Link Ferozpur),1,113
Very nice location from where u can easily move any where in lahore,Suzuki Khalid Motors (Link Ferozpur),1,114
Very good staff always ready to help u.,Suzuki Khalid Motors (Link Ferozpur),1,115
"New Suzuki cars Mehran, WagonR, is available here. Genuine Suzuki spareparts are also available here",Suzuki Khalid Motors (Link Ferozpur),1,116
Very easy to get quality car service,Suzuki Khalid Motors (Link Ferozpur),1,117
"very poor performance
your engineer's are very crupt
I can't imagine
suzuki mehran is 2 #car",Suzuki Khalid Motors (Link Ferozpur),0,118
Authorised Suzuki Car Dealer & Workshop,Suzuki Khalid Motors (Link Ferozpur),1,119
Management should be improved specially when work flow increase,Suzuki Khalid Motors (Link Ferozpur),,120
"Busy place. I'll recommend Bilal Autos (10/10) @Academy Road, Gulbergside.",Suzuki Khalid Motors (Link Ferozpur),0,121
It is a nice place with quiet good dealing officers,Suzuki Khalid Motors (Link Ferozpur),,122
"Authoriesed car dealer of Suzuki motors,besides New vehicles it also deal in second hand cars duly certified by them.",Suzuki Khalid Motors (Link Ferozpur),,123
Every nice place very good services,Suzuki Khalid Motors (Link Ferozpur),,124
Not really good but they pretend to be good,Suzuki Khalid Motors (Link Ferozpur),0,125
Very bad experience,Suzuki Khalid Motors (Link Ferozpur),0,126
Bad un managed and disatisfactory services for customer,Suzuki Khalid Motors (Link Ferozpur),0,127
It's okay but needs to improve training of their sales Staff.,Suzuki Khalid Motors (Link Ferozpur),0,128
Good service. Costly but original parts,Suzuki Khalid Motors (Link Ferozpur),,129
"They are seller, buyers and has service shop of Suzuki cars.",Suzuki Khalid Motors (Link Ferozpur),,130
Best place for vehicle buying and after sales services,Suzuki Khalid Motors (Link Ferozpur),,131
"I bought suzuku 150se at 130,000 fro khalis motor,  having bikes and vehicle of suzuki",Suzuki Khalid Motors (Link Ferozpur),,132
"If it's Suzuki,  it's worst service at higher rates. No matter which showroom you go to.",Suzuki Khalid Motors (Link Ferozpur),,133
Best place for Suzuki cars buying and maintaining point of view.,Suzuki Khalid Motors (Link Ferozpur),,134
