wiI7pd,dealership_name,manual_label,review_id
Experienced staff.,Suzuki Raiwind Motors (Raiwind Rd),1,1
This time most bad experience of all time in all over Pakistan.,Suzuki Raiwind Motors (Raiwind Rd),0,2
I buy 6500 package of tunning.the worker wasted the time in cleaning the plugs  ,Suzuki Raiwind Motors (Raiwind Rd),0,3
I do not want to give single star as well. In case of warranty they didn't own the car. Even they didn't explained and show me on warranty card that if camber can't be covered.,Suzuki Raiwind Motors (Raiwind Rd),0,4
"How they are good in service ? even they are not picking up phone ? Worse service ever, and misguide you.",Suzuki Raiwind Motors (Raiwind Rd),0,5
Worst experience ever,Suzuki Raiwind Motors (Raiwind Rd),0,6
Not recommended.,Suzuki Raiwind Motors (Raiwind Rd),0,7
I visited this workshop for the first time in jun25 and left the car there for  ,Suzuki Raiwind Motors (Raiwind Rd),,8
"Overall experience was satisfactory, but customer service needs improvement",Suzuki Raiwind Motors (Raiwind Rd),0,9
"I recently visited Suzuki Raiwind Motors. While the overall experience (in terms of environment and vehicle handling) was good, I felt the customer dealing  ",Suzuki Raiwind Motors (Raiwind Rd),1,10
Nice place,Suzuki Raiwind Motors (Raiwind Rd),1,11
Good,Suzuki Raiwind Motors (Raiwind Rd),1,12
Big level dealership with lOw commitments...,Suzuki Raiwind Motors (Raiwind Rd),0,13
NOt recommended,Suzuki Raiwind Motors (Raiwind Rd),0,14
"Despite repeated calls, do not attend calls",Suzuki Raiwind Motors (Raiwind Rd),0,15
Just for checking bikes but they don't have.... Only car show room,Suzuki Raiwind Motors (Raiwind Rd),,16
Very bad experience,Suzuki Raiwind Motors (Raiwind Rd),0,17
They don t guide properly. They take a lot of money on the name of useless packages,Suzuki Raiwind Motors (Raiwind Rd),0,18
"Today I visited Suzuki Raiwand MotorsÊ and I am Thankful to Mian Shahid Sahib, Hashir sb, Arshad Sb, Shahid sb and the persons who washed my car Sajjad sb and Safeer sb all have done great job Jazak Allah...",Suzuki Raiwind Motors (Raiwind Rd),1,19
No reply on facebook bad behaveoir,Suzuki Raiwind Motors (Raiwind Rd),0,20
Staff ia good but itseems their policy isnt good. Suzuki canal.gives much better services,Suzuki Raiwind Motors (Raiwind Rd),1,21
Pathetic Service,Suzuki Raiwind Motors (Raiwind Rd),0,22
I took my off from office just for my vehicle work They first wasted time on the things to complete their day and at the day end they only done break service in  ,Suzuki Raiwind Motors (Raiwind Rd),0,23
Purchased a suzuki car through them. Extremely helping staff that ensured facilitation till completion of registration process.,Suzuki Raiwind Motors (Raiwind Rd),1,24
So good    ,Suzuki Raiwind Motors (Raiwind Rd),1,25
Staff is good. Good behaviour. Focused staff.,Suzuki Raiwind Motors (Raiwind Rd),1,26
Great Service and highly recommended,Suzuki Raiwind Motors (Raiwind Rd),1,27
Nice place nice staff,Suzuki Raiwind Motors (Raiwind Rd),1,28
It took them 3 hours for removal and fitting of just a belt of Hustler.,Suzuki Raiwind Motors (Raiwind Rd),0,29
To expensive,Suzuki Raiwind Motors (Raiwind Rd),1,30
Only recommended for oil change.,Suzuki Raiwind Motors (Raiwind Rd),1,31
Staff has no technical knowledge and periodic maintenance knowledge.  ,Suzuki Raiwind Motors (Raiwind Rd),0,32
Always good,Suzuki Raiwind Motors (Raiwind Rd),1,33
suzuki,Suzuki Raiwind Motors (Raiwind Rd),,34
Very bad experience with suzuki raiwind team. Everybody busy in using mobile phone and not bother to the customer requirements. Even the delivery date committed for required work is not yet meet and giving wrong justification. I have never  ,Suzuki Raiwind Motors (Raiwind Rd),0,35
"""I had a very disappointing experience with this workshop. The customer service was extremely poor, and the staff were rude and unprofessional. If you value your time, money, and car, I would strongly advise against visiting this place.""",Suzuki Raiwind Motors (Raiwind Rd),0,36
"I've never experienced suchÊ a rubbish service from any authorised car dealer., which I found here in Suzuki RaiwindÊ MotorsUnfortunately, I reached out for repair and checked up my Suzuki Swift. No customer service is available, no one  ",Suzuki Raiwind Motors (Raiwind Rd),0,37
Suzuki show room free ac check up available here,Suzuki Raiwind Motors (Raiwind Rd),1,38
Some staff members need to be trained and taught some manners for dealing with customers. And if such staff has trouble working then they should be placed with the cars as a show-piece.,Suzuki Raiwind Motors (Raiwind Rd),0,39
Services are poor in expensive price,Suzuki Raiwind Motors (Raiwind Rd),0,40
Got paint job for my suzuki alto  very high quality paintwork. Got car on time. Highly recommended!,Suzuki Raiwind Motors (Raiwind Rd),1,41
Amazing Showroom Suzuki Motor's,Suzuki Raiwind Motors (Raiwind Rd),1,42
Compare to market they r expensive,Suzuki Raiwind Motors (Raiwind Rd),0,43
convinient location,Suzuki Raiwind Motors (Raiwind Rd),1,44
Good,Suzuki Raiwind Motors (Raiwind Rd),1,45
