wiI7pd,dealership_name,manual_label,review_id
,Suzuki Raiwind Motors (Raiwind Rd),,3
Experienced staff.,Suzuki Raiwind Motors (Raiwind Rd),,4
This time most bad experience of all time in all over Pakistan.,Suzuki Raiwind Motors (Raiwind Rd),,5
I buy 6500 package of tunning.the worker wasted the time in cleaning the plugs …,Suzuki Raiwind Motors (Raiwind Rd),,6
I do not want to give single star as well. In case of warranty they didn't own the car. Even they didn't explained and show me on warranty card that if camber can't be covered.,Suzuki Raiwind Motors (Raiwind Rd),,7
,Suzuki Raiwind Motors (Raiwind Rd),,8
,Suzuki Raiwind Motors (Raiwind Rd),,9
,Suzuki Raiwind Motors (Raiwind Rd),,10
"How they are good in service ? even they are not picking up phone ? Worse service ever, and misguide you.",Suzuki Raiwind Motors (Raiwind Rd),,11
,Suzuki Raiwind Motors (Raiwind Rd),,12
Worst experience ever,Suzuki Raiwind Motors (Raiwind Rd),,13
Not recommended.,Suzuki Raiwind Motors (Raiwind Rd),,14
I visited this workshop for the first time in jun25 and left the car there for …,Suzuki Raiwind Motors (Raiwind Rd),,15
"Overall experience was satisfactory, but customer service needs improvement",Suzuki Raiwind Motors (Raiwind Rd),,16
"I recently visited Suzuki Raiwind Motors. While the overall experience (in terms of environment and vehicle handling) was good, I felt the customer dealing …",Suzuki Raiwind Motors (Raiwind Rd),,17
,Suzuki Raiwind Motors (Raiwind Rd),,18
Nice place,Suzuki Raiwind Motors (Raiwind Rd),,19
,Suzuki Raiwind Motors (Raiwind Rd),,20
Good,Suzuki Raiwind Motors (Raiwind Rd),,21
Big level dealership with lOw commitments...,Suzuki Raiwind Motors (Raiwind Rd),,22
NOt recommended,Suzuki Raiwind Motors (Raiwind Rd),,23
"Despite repeated calls, do not attend calls",Suzuki Raiwind Motors (Raiwind Rd),,24
,Suzuki Raiwind Motors (Raiwind Rd),,25
Just for checking bikes but they don't have.... Only car show room,Suzuki Raiwind Motors (Raiwind Rd),,26
,Suzuki Raiwind Motors (Raiwind Rd),,27
,Suzuki Raiwind Motors (Raiwind Rd),,28
,Suzuki Raiwind Motors (Raiwind Rd),,29
Very bad experience,Suzuki Raiwind Motors (Raiwind Rd),,30
They don’t guide properly. They take a lot of money on the name of useless packages,Suzuki Raiwind Motors (Raiwind Rd),,31
"Today I visited Suzuki Raiwand Motors� and I am Thankful to Mian Shahid Sahib, Hashir sb, Arshad Sb, Shahid sb and the persons who washed my car Sajjad sb and Safeer sb all have done great job Jazak Allah...",Suzuki Raiwind Motors (Raiwind Rd),,32
No reply on facebook bad behaveoir,Suzuki Raiwind Motors (Raiwind Rd),,33
,Suzuki Raiwind Motors (Raiwind Rd),,34
,Suzuki Raiwind Motors (Raiwind Rd),,35
Staff ia good but itseems their policy isnt good. Suzuki canal.gives much better services,Suzuki Raiwind Motors (Raiwind Rd),,36
,Suzuki Raiwind Motors (Raiwind Rd),,37
Pathetic Service,Suzuki Raiwind Motors (Raiwind Rd),,38
