wiI7pd,,
"When Khalid motor started working, it was amazing in services, timely and efficiently, but with time as it goes older services get declined. Staff do things unprofessional and services was disappointing, for one things need several visit to fix.
It's just ok",,
"On my last visit 3 days ago, the sale  person (arslan) who was dealing me dodged with me. He asked me to do those works that are not required by my new car at this time. Secondly, he charged me the most expensive engine oil without …",,
"Staff isn't very warm .
They do ok but hide many things and charge u later .",,Like
Very competent and courteous staff. I've gotten my car repaired twice from KM and it was super.,,
Parking issue and need to enhance the services setup especially for suzuki customers,,Like
Staff is very kind and cooperative from top to bottom management. We had a great experience buying our first car from there.,,Share
"Axha experience rha, 10 mint main kam krdia. Very experience and trained people are there.",,Like
Suzuki khalid motors is authorized dealers from suzuki motor company they provide genuine parts service maintenance denting penting and many more they deal in used and new cars. We,,Share
Their service + staff is really great. They are loyal with their work. Treat the vehicle as their own.,,Share
"Staff is very skilled and coprative. But main issue is with price. They charge alteast 2x on parts. In same thing is available at half price.

For staff its 5/5 no issue with staff.",,
Though the weather was too hot but I really enjoyed it. I especially admire the cooperative staff of M/s Khalid Motors,,
Overall good experience Staff was good but only prices are so high,,
"The salesman was very well-coming and clearly explained about the product inquired about. Also brochure was available which proved very helpful in my purchase process.

However they need to improve after sales services.",,Like
A huge showroom with a well trained staff but due to a big gathering service feels slow sometime....,,Like
"I would not recommend anyone to go through “Suzuki Khalid Motors Lahore.

As they are highly unprofessional will not pick your calls and you have to visit them to no avail and will make you do rounds around the Dealership and Suzuki Regional Office. Its been more than 2 months and they are saying car will come in 1 or 2 days Regardless knowing anything as they have ZERO information.

So save your time and don’t book anything from this particular dealership and you’ll thank be later.",,Like
"Very good and quick service...
There is room for Improvement in Insurance Claim Department... If your Insurance Company is efficient and responsive then you will get your query resolved at earliest otherwise you have to wait for long time for your turn...",,Like
Well trained staff to take care of your Suzuki vehicles.  Advance appointment is better idea to save your time. Timings are from 9 to 6 sharp. Highly recommended for quality service.,,
There mechanics are good and experienced but the rate of parts is very high. The difference of cost between the parts available in the market and from suzuki workshop is more than 7-8 times. So visit them if you have lot of spare money.,,Like
Friendly people there they guide you for the best choice,,Like
"I went there for purchasing Suzuki Alto VXR, Sales Deptt demand 200000 RS in terms of Own Payment otherwise asked me to waite for 4 months.
What a nonsense!!!!!!!!!!",,Like
"Very poor people, I visited and they forced for their kind of a package for wheel alignment,  balancing etc. My cultus was total out of balance bubling, whenever stop on signal the ignition used to stop, before their all this package the …",,
Bought our car from here and good after service by the team here.,,Share
