wiI7pd,dealership_name,manual_label,review_id
Ac mechanic both were absent. Waste of time,HONDA Fort,0,1
Honda fort queens road Lahore,HONDA Fort,,2
Visited Honda Fort many times. Bought couple of cars from there. Good and fast service. All the services available on all floors. Honda's genuine products only used. Staff's behavior is pretty good and highly coordinative. If you want your Honda's complete checkup under one roof then do visit Honda Fort.,HONDA Fort,1,3
"Exquisite service and support! Labour costs are a little higher in comparison with other workshops. Besides, their staff are highly skilled and embraced with technical know-how. If you own a vehicle manufactured by Honda, then this would be the right place for regular maintenance.",HONDA Fort,1,5
Good crocker ,HONDA Fort,1,6
Not Competent enough to diagnose complex problems with Turbo,HONDA Fort,0,7
I visit here thay are provided good services,HONDA Fort,1,8
This was excellent place,HONDA Fort,1,9
"Today on 16th May 2023 i visited Honda Fort Lahore First time for Maintenance of Honda Civic.
Feed back for Work on Car will be given latter after one day. â?¦",HONDA Fort,,10
"Good maintenance, service and repair facilities available. Also, new cars sold here.",HONDA Fort,1,11
Very bad,HONDA Fort,0,12
"Best for periodic maintenance and parts. I have tried multiple 3s facilities of Honda in Sialkot, Lahore and Gujranwala - Honda Fort is by far the best. Parts quality is good. Prices are a little bit high.",HONDA Fort,1,13
Good,HONDA Fort,1,14
Honda stro â?¦,HONDA Fort,,15
The staff was incredibly helpful during my recent visit. They were knowledgeable. I truly appreciated their level of service and it made my experience all the more enjoyable,HONDA Fort,1,17
Very Expensive,HONDA Fort,0,18
AC,HONDA Fort,,19
Very expansive,HONDA Fort,0,20
To Expensive,HONDA Fort,0,23
Good Services,HONDA Fort,1,25
Very good service indeed.,HONDA Fort,1,27
Very expensive .,HONDA Fort,0,28
Good service nice staff,HONDA Fort,1,29
Better servicies,HONDA Fort,1,30
Great experience,HONDA Fort,1,31
Services are very good but hell expensive i mean fazool mai hi itna expensive where you can ask for the services of 10k here you have to spend 30 to 40k i mean dimag thek hai,HONDA Fort,0,32
Very Good Service,HONDA Fort,1,33
Very bad experience two much expensive and use less service,HONDA Fort,0,34
Solution of all problems related to your Honda car are available under single roof!,HONDA Fort,1,35
Good service,HONDA Fort,1,37
Best services with experienced staff,HONDA Fort,1,39
Over all nice and cooperative,HONDA Fort,1,40
bakwas service am never go again thi stupid honda fort very poor service,HONDA Fort,0,41
Goood hospital.for honda caaaars... ..,HONDA Fort,1,42
CARS gone mad every month price going to double,HONDA Fort,,43
Lovely place,HONDA Fort,1,44
Good,HONDA Fort,1,45
Good people nice reception,HONDA Fort,1,47
"Excellent service and nice cooperative staff. I like it very much. Keep in touch
Always a favourite for a healthy car.",HONDA Fort,1,48
Pathetic staff,HONDA Fort,0,49
It was first and good experience,HONDA Fort,1,50
It was Good experience,HONDA Fort,1,52
Honda official dealer,HONDA Fort,,53
Great service.,HONDA Fort,1,54
Staff is good cooperative expert and experienced,HONDA Fort,1,55
Owners and the complete staff are very much cooperative as well as experienced professionals,HONDA Fort,1,56
"Was there on Launch of Honda HRV
Nice looking SUV but with limited options",HONDA Fort,,57
Excellent service,HONDA Fort,1,58
Bikes mill jati hn Any time. 70 aor 125,HONDA Fort,,59
Not crowded place,HONDA Fort,1,60
Take my new car city,HONDA Fort,,61
"Near ganga ram hospital and abid market
Queens road lahore punjab pakistan",HONDA Fort,,63
Not enough parking space available. Very limited cars on display and proper information is not given. Sales staff is courteous but lack information,HONDA Fort,0,64
This Honda show room after sales service center.,HONDA Fort,,65
Mr. Ali Raza your dealing is really good.,HONDA Fort,1,66
"Excellent car maintenance service. I was having mixture setting problem with my car, only Honda Fort was able to fix it and they didn't even charged me any fee.",HONDA Fort,1,67
Cooperative staff,HONDA Fort,1,68
Work shop management is so week to control workers,HONDA Fort,0,69
Nice workshop,HONDA Fort,1,70
Nice Experience but costly (not only service but parts too).... recently cost have really soared for oil changes even. Warranty recalls are also difficult to get approved. Still one of the best Honda dealership in town,HONDA Fort,0,71
No one attended the fault. Finally I left without getting my car checked,HONDA Fort,0,72
Excellent after sales and services,HONDA Fort,1,73
Service is slightly slow,HONDA Fort,0,74
Very congested place,HONDA Fort,0,75
"Might be the best place to buy new Honda cars but the worst place to get service / maintenance. Seems like they are living 30 years back. Ground floor staff has no information about the available service pits on each floor, no centralized",HONDA Fort,,76
"Excellent service, excellent customer care, excellent atmosphere and excellent services! Highly expert and skilled team. A place worth-visiting!",HONDA Fort,1,77
A very nice honda Showroom in the center of lahore. Equiped with all necessary tools from sales to repair. The staff is cooperative. Love to buy a new car ð??? from here. â?¦,HONDA Fort,1,78
Very much good experience with them,HONDA Fort,1,79
Very expensive.,HONDA Fort,0,80
Bad service,HONDA Fort,0,81
"Very expensive, need more place, staff not much cooperative so so.",HONDA Fort,0,82
Experience was very good. Very professional staff.,HONDA Fort,1,83
"Too much costly. Recently civic 2017 oil, and Air filter changed from honda and it will Cost 10kð??¬ â?¦",HONDA Fort,0,84
Very polite & helpful staff!!,HONDA Fort,1,86
Went for my civic,HONDA Fort,,87
Cooperative Staff. Nice place to purchase Honda products.,HONDA Fort,1,88
Excellent customer service...,HONDA Fort,1,89
Good servise,HONDA Fort,1,90
Nice staff. Best services,HONDA Fort,1,91
Quality but over pricing,HONDA Fort,0,93
Very good service,HONDA Fort,1,94
Seamless delivery of CIVIC,HONDA Fort,1,95
Recommended,HONDA Fort,1,96
Very Expensive,HONDA Fort,0,101
Bad service,HONDA Fort,0,102
Service is very poor,HONDA Fort,0,103
"Well experienced staff and quality work, both at same place",HONDA Fort,1,104
"Very Good, customer oriented dealer",HONDA Fort,1,105
Good dealership for purchasing cars. But workshop side is very small.,HONDA Fort,1,106
Nice place,HONDA Fort,1,107
"Good after sale services provider.
But old model most of spares are not available.",HONDA Fort,0,108
"I came here for oil change
My bill was 8000 totally acceptable
But the staff was totally unprofessional. â?¦",HONDA Fort,,109
Too occupied,HONDA Fort,0,110
Number One Dealership For Honda cars in Lahore.Workshop is highly recommended,HONDA Fort,1,111
Percent satisfaction with their Job,HONDA Fort,,112
Service department,HONDA Fort,,113
"Honda Forte has been the place to take the family Honda cars for a very long time. New cars aside...The 2000 Civic is still maintained by Honda Forte!
Their service has not only helped keep the cars engine maintained but also â?¦",HONDA Fort,1,114
Great ambiance 3S Honda Dealership Lahore,HONDA Fort,1,115
Good for honda cars work-mechanical-denting-painting.etc etc honda parts are also available here.,HONDA Fort,1,116
Good service,HONDA Fort,1,117
Honda Fort at Queen's Road is one of the more reputable showrooms of Honda in Lahore. I have always had good experience with them wether it is buying a car or fixing it. I feel they have really experienced mechanics in their showroom and my car is in safe hands.,HONDA Fort,1,118
Good work and good people,HONDA Fort,1,119
Good service provider,HONDA Fort,1,121
Nice place.,HONDA Fort,1,122
Yes,HONDA Fort,,123
Need too much improvements,HONDA Fort,0,124
Only dealer ship thats why its need to be visited otherwise no good display no good salesman ship,HONDA Fort,0,126
Good workshop and show room,HONDA Fort,1,127
"It was good,it is rating 4 .5",HONDA Fort,1,128
Good and cooprative staff,HONDA Fort,1,129
They are expensive in comparison with product,HONDA Fort,0,130
Very good workshop for Honda cars repair and maintenance. Recommended,HONDA Fort,,132
Good customer service,HONDA Fort,,133
good service Û?,HONDA Fort,,134
Staf and atmosphere is not good.,HONDA Fort,,135
Good place and honda civic rs is nice car,HONDA Fort,,136
Gadi leni hai honda tay Honda Fort tashreef layao. Staff is very cooperative and you can get any sort of Honda car/SUV from there.,HONDA Fort,,138
"Very disappointed, you should train your staff for how to deal with customers.

-No professionalism.
-Rude behaviour & zero customer support.",HONDA Fort,,139
"Very good custommer services , obviously expensise as compared to market but it yr choice , one thing to be mentioned for little works like oil change ,allignment etc u can come upto 4-30 or 5 pm but for time consuming work as they have
plenty of work load so book yr job apointment before or reach 10 am sharp",HONDA Fort,,140
Location is good but place is conjusted bit slightly manages,HONDA Fort,,141
prices of car parts and services is very highÛ?,HONDA Fort,,143
"Very stupid team.at the time of booking they are professional but at delivery time they are too rude. Don't have time to manage query as well as don't know how to deal with customers.
Really bad experience with honda fort lahore.",HONDA Fort,,144
One of the best Honda Service Center,HONDA Fort,,145
"Bas experience, the staff working there are like they are owners. No customer value .",HONDA Fort,,146
