wiI7pd,dealership_name,manual_label,review_id,predicted_sentiment,predicted_label
Ac mechanic both were absent. Waste of time,HONDA Fort,0.0,1,0.20794867,0
Honda fort queens road Lahore,HONDA Fort,,2,0.31162304,0
Visited Honda Fort many times. Bought couple of cars from there. Good and fast service. All the services available on all floors. Honda's genuine products only used. Staff's behavior is pretty good and highly coordinative. If you want your Honda's complete checkup under one roof then do visit Honda Fort.,HONDA Fort,1.0,3,0.5985206,1
"Exquisite service and support! Labour costs are a little higher in comparison with other workshops. Besides, their staff are highly skilled and embraced with technical know-how. If you own a vehicle manufactured by Honda, then this would be the right place for regular maintenance.",HONDA Fort,1.0,5,0.5723983,1
Good crocker ,HONDA Fort,1.0,6,0.95551246,1
Not Competent enough to diagnose complex problems with Turbo,HONDA Fort,0.0,7,0.24440975,0
I visit here thay are provided good services,HONDA Fort,1.0,8,0.94089437,1
This was excellent place,HONDA Fort,1.0,9,0.9782616,1
"Today on 16th May 2023 i visited Honda Fort Lahore First time for Maintenance of Honda Civic.
Feed back for Work on Car will be given latter after one day. Ã¢?Â¦",HONDA Fort,,10,0.3046349,0
"Good maintenance, service and repair facilities available. Also, new cars sold here.",HONDA Fort,1.0,11,0.87869036,1
"Best for periodic maintenance and parts. I have tried multiple 3s facilities of Honda in Sialkot, Lahore and Gujranwala - Honda Fort is by far the best. Parts quality is good. Prices are a little bit high.",HONDA Fort,1.0,13,0.70953274,1
Honda stro Ã¢?Â¦,HONDA Fort,,15,0.32159692,0
The staff was incredibly helpful during my recent visit. They were knowledgeable. I truly appreciated their level of service and it made my experience all the more enjoyable,HONDA Fort,1.0,17,0.7834318,1
Very Expensive,HONDA Fort,0.0,18,0.15329945,0
Very expansive,HONDA Fort,0.0,20,0.67326826,1
To Expensive,HONDA Fort,0.0,23,0.17651285,0
Good Services,HONDA Fort,1.0,25,0.95589054,1
Very good service indeed.,HONDA Fort,1.0,27,0.9733637,1
Very expensive .,HONDA Fort,0.0,28,0.15329945,0
Good service nice staff,HONDA Fort,1.0,29,0.9597666,1
Better servicies,HONDA Fort,1.0,30,0.9136951,1
Great experience,HONDA Fort,1.0,31,0.96826047,1
Services are very good but hell expensive i mean fazool mai hi itna expensive where you can ask for the services of 10k here you have to spend 30 to 40k i mean dimag thek hai,HONDA Fort,0.0,32,0.3063418,0
Very Good Service,HONDA Fort,1.0,33,0.9738459,1
Very bad experience two much expensive and use less service,HONDA Fort,0.0,34,0.16339704,0
Solution of all problems related to your Honda car are available under single roof!,HONDA Fort,1.0,35,0.5243604,1
Good service,HONDA Fort,1.0,37,0.95621544,1
Best services with experienced staff,HONDA Fort,1.0,39,0.9634782,1
Over all nice and cooperative,HONDA Fort,1.0,40,0.95400935,1
bakwas service am never go again thi stupid honda fort very poor service,HONDA Fort,0.0,41,0.1464875,0
Goood hospital.for honda caaaars... ..,HONDA Fort,1.0,42,0.3007579,0
CARS gone mad every month price going to double,HONDA Fort,,43,0.21708931,0
Lovely place,HONDA Fort,1.0,44,0.94046235,1
Good people nice reception,HONDA Fort,1.0,47,0.96131957,1
