wiI7pd,manual_label,dealership_name,review_id
Their manners are exceptional...and the complementary tea they served while waiting was wonderful too...All in all so far good enough to make me go there again....,1,HONDA RingRoad,1
Nice working staff and good services,1,HONDA RingRoad,2
"Honda ring road services are just pathetic, may it be professionalism, guiding customer about problem, on time delivery, everything is doubtful. manipulation of records is practice here. Would not recommend to anyone",0,HONDA RingRoad,3
Agr oil change k lie ana ho to pehle appointment lena hoga ya ase hi ja skte hai,,HONDA RingRoad,4
"Good services, well experienced team",1,HONDA RingRoad,5
It's good place,1,HONDA RingRoad,6
The experience is not seamless. Noisy environment no proper cabins for staff and sitting.,0,HONDA RingRoad,8
"Professional service, courteous staff and technically competent. Plus a well equipped workshop.",1,HONDA RingRoad,9
Too much expensive car maintenance,0,HONDA RingRoad,11
Good service,1,HONDA RingRoad,12
Comparative staff good dealership in town strongly recommended for your car maintenance they have attractive maintenance packages 100/100,1,HONDA RingRoad,13
Not much help with after services,0,HONDA RingRoad,14
Good road,1,HONDA RingRoad,15
"Got a car from here, service was good. Staff is well trained. It's a bit off from the main city but due to that there is less chaos at this dealership. The workshop is also good.",1,HONDA RingRoad,16
Fake Phone number hai scam calls ati hain is say,0,HONDA RingRoad,17
Having personal experience. If Honda Ring Road cant afford the salary then dont hire Sales Staff,0,HONDA RingRoad,18
Had a very good experience of buying a car with very friendly and professional staff.,1,HONDA RingRoad,19
"Regular services are fine. The staff acts to be very friendly and some of them really are. But when it comes to any warranty issue, they keep coming up with excuses since their preference is to take up jobs  where they get money.",1,HONDA RingRoad,20
"Great Experience to Visit HONDA Ring Road, All Departments were Well Organized.",1,HONDA RingRoad,21
"I visited here for maintenance and body work of my car. Overall it was a good experience, staff is quite cooperative as compared to other 3S centers and well trained. Special thanks to Mr. Hafiz Ahmad and Mr. Rafaqat Sardar.",1,HONDA RingRoad,22
"Probably the best place to get your New Honda or get your Honda Car checked. They have amazing staff, from owner to gate guard, what a benchmark they are setting in dealership arena. but yea they forgot to give me complementary matts with",1,HONDA RingRoad,23
"New service center, novice running it",1,HONDA RingRoad,24
All quality services under one roof,1,HONDA RingRoad,25
Dangerous area,0,HONDA RingRoad,26
"HRR team is very knowledgeable, friendly and professional.
Along with good maintenance
will guide you through your dealÃ¢?Â¦and answer all your questions.",1,HONDA RingRoad,27
Very good services center and competent staff.,1,HONDA RingRoad,28
Good Envernment,1,HONDA RingRoad,29
"Great experience, Easy to access through Ring road and Amazing customer service. Thanks HRR Team",1,HONDA RingRoad,30
Awesome Customer Service. Nice environment. Easily Accessible,1,HONDA RingRoad,31
Up till now I have visited this place 3 times and every time I met with different people concerned to workshop which shows there high employee turnover which is not a good sign for the customers. As far as service quality is concern they,,HONDA RingRoad,32
Very cooperative and welcoming staff.,1,HONDA RingRoad,33
"Good experience...
Awesome service.....",1,HONDA RingRoad,34
Great experience purchasing a new car from Honda Ring Road. Mr. Muhammad Sajawwal was very kind and he made sure everything was lined up properly and on time. Will share my experience about their workshop as well but overall a very nice addition to Honda dealership network.,1,HONDA RingRoad,35
Supportive staff,1,HONDA RingRoad,36
Staff,,HONDA RingRoad,37
Excellent customer services,1,HONDA RingRoad,38
I am employee in this dealership. This very good dealership. This peace of heart of gajjumata,1,HONDA RingRoad,39
Professional and highly trained technician staff.,1,HONDA RingRoad,40
I booked my BR-V and they committed delivery in 1 month but actually delivered in 2 months. Rest their services are good so far.,1,HONDA RingRoad,41
Good place and professional service... Customer oriented... Cooperative staff and good listening of Higher Management.,1,HONDA RingRoad,43
"Nice ambience.
Professional approch.",1,HONDA RingRoad,44
Best customer care service,1,HONDA RingRoad,45
Dont book car from here. Honda ring road is big fraud. Especially overseas dont buy from here they blackmail to customers. Sale management is non professional. I have all chat proves. They threat to customers and zero customer care. Female behavior is very offensive. Because uneducated sale management.,0,HONDA RingRoad,46
Honda ring road is fraud. Plz dont buy any new car from here they are big blackmailer. Sales manager is no professional and involve in fraud. I booked my car from here. Didnt receive yet. I am going to complain about them.  Big thieves       I will post on social media about them.  Dont come here for any service.  Fraud management.,0,HONDA RingRoad,47
"I have had a dreadful experience with Honda. I booked a Honda Civic on 25-January 2022 from Honda Ring Road Lahore. Before I booked, the salesperson insisted that if I placed a booking in January, I would receive it in April 2022. Clearly,",0,HONDA RingRoad,48
I asked my friend and family members Honda ring road good place. But Today I visit Honda ring road for  my car 10000km service. 1 person add battery water with 4 letter oil gallon. And no entire on my warranty card. Today very bad experience.next time not recommend.,0,HONDA RingRoad,49
