wiI7pd,dealership_name,manual_label,review_id
"Good showroom that offers other services like service / repair centre, facilitate in purchasing old but good suzuki cars and deals with Suzuki motorcycles.",Suzuki Adil Zafar Motors,1,1
Services are OK.. While Spare parts prices are too much high even unaffordable in some cases.,Suzuki Adil Zafar Motors,0,2
Received vehicle with faults which an ordinary person can not found..only an expert person who have the knowledge of vehicle denting and painting experience can judge it.,Suzuki Adil Zafar Motors,0,3
"I have been there several times for regular maintainance and repairs. Everytime the ecperience is kind of neutral.

Labour/staff is not cooperative as compared to Sethi Motors and Ali jan motors.

The system here is less organized and i dont know why the body language of labour make you feel that they are scamming somewhere. Like today, i went there to get the ""Right axle"" checked and after road test he said that the whole part (axle) needs to be replaced. His body language was like he was lying. Then i asked him if i can buy the part from general auto parts shops and not from suzuki then he started whispering with other mechanics and finally he said you can bring yourself and we will install it.

Then he again said, ""you have to get it machined yourself too""

Means he discouraged  me to buy part of my own.

The behaviours were disappointing in short.

Not a customer friendly environment.

At last, i decided not to get it repaired at Adil Zafar motors.

I recommend Sethi Motors, Ferozepur road.",Suzuki Adil Zafar Motors,0,4
"They are avoiding to do repairs/services those are recommended by the Suzuki booklet at different mileage and as asked by costumers, I experienced this at three visits. Parts (filter) was unavailable and one of the technician offered to buy used A/C filter form him in Rs. 1000 that's original price is Rs. 7000. Not recommended for repairs/services.",Suzuki Adil Zafar Motors,0,5
My father car mechanic.. best,Suzuki Adil Zafar Motors,,6
"Good staff, great work, supportive customer service.",Suzuki Adil Zafar Motors,1,7
"Well, as a car showroom and service center, I would rate this place 4-star but since this place belongs to Suzuki (which is a third-class vehicle manufacturer due to its quality of products and expensive prices), it deserves not more than 2-star. Therefore, on average, 3-star in my opinion.
They provide good car services but rates are quite high as compared to local market (because of being a brand). Also, their upper and sales staff is bit amateur and needs some professional training.",Suzuki Adil Zafar Motors,1,8
Suzuki genuine workshop. A little costly.... But company maintenance is the BEST,Suzuki Adil Zafar Motors,1,9
Staff is friendly and cooperative. They provide efficient and prompt service.,Suzuki Adil Zafar Motors,1,10
"So much expensive. Moreover, really customer service. No one even bothered to ask me. Very rude staff.",Suzuki Adil Zafar Motors,0,11
I love because they deliver my car in just one week. Imagine just in 1 week my car reached from Karachi after booking. After sales service is awesome. Full track record and full support. 100% recommend.,Suzuki Adil Zafar Motors,1,12
Staff was cooperative and informative. If driver shows interest in learning they guide you properly and make sure that customer is satisfied. Recommend indeed,Suzuki Adil Zafar Motors,1,13
All service available in Showroom,Suzuki Adil Zafar Motors,1,14
Normal services for car Repair,Suzuki Adil Zafar Motors,1,15
All under one roof,Suzuki Adil Zafar Motors,1,16
Nice for buying car,Suzuki Adil Zafar Motors,1,17
Sales services and part's,Suzuki Adil Zafar Motors,1,18
Delivered car on-time but of course I have pay on price. But they kept their commitment. A good experience.,Suzuki Adil Zafar Motors,1,19
Below average to average public dealing. I don't know whether it is due to work load of something else.,Suzuki Adil Zafar Motors,0,20
Good service but not so good  expert in suzuki motors. I will not recommend,Suzuki Adil Zafar Motors,0,21
Good place for engine tuning only price of parts are more than double as compared to market.,Suzuki Adil Zafar Motors,1,22
Worst staff. They don't want to work at all and just want you to spend money in their workshop as much as you can. Imran n Javaid bhai are comparitively better n coperative. Beware of Qasim a bulky person incharge of wheel alignment. U will definately get ur car damaged and no one will listen to u. I will never go to this workshop again.,Suzuki Adil Zafar Motors,0,23
You can buy full range of SUZUKI vehicles here. Selected range of cars and motor cycles are on the display. They are 5S agent of SUZUKI Pakistan. Very old and reliable showroom. Owners of this facility are very humble.,Suzuki Adil Zafar Motors,1,24
Staff is good. Not well managed. You have to wait  even for inspection.,Suzuki Adil Zafar Motors,1,25
"Pathetic service. Thugs and looters. Destroyed AC of my new car,  delayed stuff for 6 months till my insurance expired then gave me a plan of Rs 100 000 to fix it. And cherry on the cake, ""chori with sina zori""",Suzuki Adil Zafar Motors,0,26
Good service,Suzuki Adil Zafar Motors,1,27
"They sell cars only at OWN money. They always refuse booking a car by saying ""our quota is finished""",Suzuki Adil Zafar Motors,0,28
They took almost one hour but unable to fix the issue in my car which was done by an ordinary mechanic outside in 10 minutes.,Suzuki Adil Zafar Motors,0,29
Adil Zafar offers services and spare parts as well. Spare parts are expensive and all variety not available. Service area is not well organised and sometimes you need to spend 3 hours for only oil change and tuning.,Suzuki Adil Zafar Motors,0,30
Excellent service. Helpful and friendly staff..no  hassle ..they make u feel how easy to buy a new car. . Keep it up.,Suzuki Adil Zafar Motors,1,31
