wiI7pd,dealership_name,manual_label,review_id
"Never visit, save your car.
Was very good service provider not so long ago. But now their services are just craps and of very very poor quality. They broke my engine cover during service, broke my tyre nuts during service, and I think they did it intentionally and bluntly asked me to buy new parts so that you can drive the car. The Manager was not so professional and ignorant. I wish I could give them less then 1 star.",Suzuki Mini Motors (Gulberg 3),0,1
"Good experience, staff is cooperative. Genuine as well as non genuine parts are available. Prices are ok too. Maintenance packages are also reasonably priced.",Suzuki Mini Motors (Gulberg 3),1,2
Always go there for my wagon r service. They mostly offer good packages and look into the problem correctly,Suzuki Mini Motors (Gulberg 3),1,3
"I didn't feel any difference between mini motors and other Suzuki service centers, Local garages and mechanics are way better than Suzuki service centers.",Suzuki Mini Motors (Gulberg 3),0,4
Masha'AllaH. Excellent Service & Cooperative Staff . Little bit expensive but excellent service .,Suzuki Mini Motors (Gulberg 3),1,5
"For the very first inspection, I have to request for every work written in the check list. Not suitable for first and second free inspection. Their foreman is there for promoting their business and asks working parts to change at highest prices. It's better to get your car tunned here but for buying parts, you have to look other options as prices are too high. Looting customers in every possible way. Strongly discouraged to visit",Suzuki Mini Motors (Gulberg 3),0,6
Very professional staff with good techniques and skills,Suzuki Mini Motors (Gulberg 3),1,7
"A place with Great people Specially Mr Usman Bhatti Shab, very cooperative & an efficient person.",Suzuki Mini Motors (Gulberg 3),1,8
"They're always very busy and take too much time for small work.
It's better to avoid this place and go somewhere else",Suzuki Mini Motors (Gulberg 3),0,9
It's a good place to get your vehicle periodically maintained. Good job done everytime.,Suzuki Mini Motors (Gulberg 3),1,10
Highly professional staff and recommend to visit there,Suzuki Mini Motors (Gulberg 3),1,11
It one of the oldest Suzuki Show room in Lahore.,Suzuki Mini Motors (Gulberg 3),,12
"Awesome service
Staff was cooperative",Suzuki Mini Motors (Gulberg 3),1,13
"Got the car by Booking. Their sales staff are not cooperative. They always gave false statements and timelines. Secondly, they even took the initiative to facilitate.

Secondly, my car carpet was damaged at the time of delivery. So, everyone please make sure each and everything is in detail.",Suzuki Mini Motors (Gulberg 3),0,14
