wiI7pd,dealership_name,manual_label,review_id,predicted_sentiment,predicted_label
"Never visit, save your car.
Was very good service provider not so long ago. But now their services are just craps and of very very poor quality. They broke my engine cover during service, broke my tyre nuts during service, and I think they did it intentionally and bluntly asked me to buy new parts so that you can drive the car. The Manager was not so professional and ignorant. I wish I could give them less then 1 star.",Suzuki Mini Motors (Gulberg 3),0.0,1,0.29682922,0
"Good experience, staff is cooperative. Genuine as well as non genuine parts are available. Prices are ok too. Maintenance packages are also reasonably priced.",Suzuki Mini Motors (Gulberg 3),1.0,2,0.7273598,1
Always go there for my wagon r service. They mostly offer good packages and look into the problem correctly,Suzuki Mini Motors (Gulberg 3),1.0,3,0.911516,1
"I didn't feel any difference between mini motors and other Suzuki service centers, Local garages and mechanics are way better than Suzuki service centers.",Suzuki Mini Motors (Gulberg 3),0.0,4,0.38080728,0
Masha'AllaH. Excellent Service & Cooperative Staff . Little bit expensive but excellent service .,Suzuki Mini Motors (Gulberg 3),1.0,5,0.880536,1
"For the very first inspection, I have to request for every work written in the check list. Not suitable for first and second free inspection. Their foreman is there for promoting their business and asks working parts to change at highest prices. It's better to get your car tunned here but for buying parts, you have to look other options as prices are too high. Looting customers in every possible way. Strongly discouraged to visit",Suzuki Mini Motors (Gulberg 3),0.0,6,0.34204078,0
Very professional staff with good techniques and skills,Suzuki Mini Motors (Gulberg 3),1.0,7,0.8437351,1
"A place with Great people Specially Mr Usman Bhatti Shab, very cooperative & an efficient person.",Suzuki Mini Motors (Gulberg 3),1.0,8,0.9033153,1
"They're always very busy and take too much time for small work.
It's better to avoid this place and go somewhere else",Suzuki Mini Motors (Gulberg 3),0.0,9,0.35619247,0
It's a good place to get your vehicle periodically maintained. Good job done everytime.,Suzuki Mini Motors (Gulberg 3),1.0,10,0.9361395,1
Highly professional staff and recommend to visit there,Suzuki Mini Motors (Gulberg 3),1.0,11,0.38748342,0
It one of the oldest Suzuki Show room in Lahore.,Suzuki Mini Motors (Gulberg 3),,12,0.28967595,0
"Awesome service
Staff was cooperative",Suzuki Mini Motors (Gulberg 3),1.0,13,0.97528994,1
"Got the car by Booking. Their sales staff are not cooperative. They always gave false statements and timelines. Secondly, they even took the initiative to facilitate.

Secondly, my car carpet was damaged at the time of delivery. So, everyone please make sure each and everything is in detail.",Suzuki Mini Motors (Gulberg 3),0.0,14,0.36565414,0
"Once I had accidentally visited Suzuki Mini Motors on Sunday (because this is the only Suzuki dealer which was used to open on Sunday) and after that I had never visited any other Suzuki dealership for maintenance. I had visited it a few days ago and the experience was brilliant. I was just sitting in the waiting area and the whole process was carried out by the supervisor. I didn't had to get involved in the micromanagement of the tasks. Even if the customer is not satisfied, he/she can visit anytime soon and tell them. They will reevaluate and provide the remedy. Once I went back and told them that the balancing was not done in the right manner. The mechanic had crossed the  tyres and everything went fine.
I love the service and the behavior of the staff. Overall nothing to complain about.",Suzuki Mini Motors (Gulberg 3),0.0,15,0.22571212,0
"oodnplace, cooperative staff. Well trained for Suzuki Cars",Suzuki Mini Motors (Gulberg 3),1.0,16,0.31892544,0
"Excellent service and cooperative staff 100% professional
Special Thanks to my Buddy  Usman Bhatti",Suzuki Mini Motors (Gulberg 3),1.0,17,0.8579038,1
Giood but always expensive depite using the same OEMs,Suzuki Mini Motors (Gulberg 3),0.0,18,0.2145158,0
"Very Bad and Pathetic Experience. Would not recommend anyone going there.

Went to Suzuki Mini Motors another branch named Suzuki Pine Avenue Motors.

Went there and got x2 cars booked Alto VXR on different names and different bank drafts. But they called us back after few days that our booking has been withdrawn as suzuki believes that we are investors. They even charged us the insurance fee for both cars as according to their new policy they will charge insurance fee i.e. 2% of invoice price just to avoid investors.",Suzuki Mini Motors (Gulberg 3),0.0,19,0.20989381,0
"I went there to take the information for a bike on installment. The customer service was 2/10, and was feeling like they don't want to deal.
Second, the policy of Suzuki for bike on installments,
You only can buy if you residing in Lahore and the permanent address must be Lahore. Otherwise you are not eligible.......
I make a request but they straight away Denied, and said, company policy. I am criticism company policy not mini motors...
Placed in a crowdy area of Lahore , not a easy access,
Would not suggest you to visit if you don't belongs to that place..",Suzuki Mini Motors (Gulberg 3),0.0,20,0.29367292,0
Professional staff and Quick service .Though little expensive then market,Suzuki Mini Motors (Gulberg 3),0.0,21,0.30148894,0
Suzuki Mini motors is a 3 star authorized dealer of Pak Suzuki Motors. It is located in Gulberg Lahore near Cavalry Ground. It offers sale of brand new cars of Suzuki vrans only and also provide car repair and maintenance service. Its workshop is very well equipped and its technician are very skilled and competent. It gives excellent service.,Suzuki Mini Motors (Gulberg 3),0.0,22,0.5740413,1
"Suzuki Mini Motors is the worst Suzuki dealership in Lahore.

I won?? recommend anybody doing business with them at all. They aren?? trustworthy, highly deceptive, and unprofessional, especially their salesperson Mr. Summer and sales manager Mr. Kashif.

I booked the newly launched Swift in the Suzuki exchange program through Suzuki Mini Motors. They committed to deliver the vehicle within fifteen days but the vehicle was delivered after forty days.

The dealership handed me over a faulty vehicle with manufacturing defects and deep scratches on the paint.",Suzuki Mini Motors (Gulberg 3),0.0,23,0.25805432,0
A very good place very good service provider workshop is very well equipped  I go to sells department they are not welcome so I don't like it they don't bother if they see you are only hear for estimate of your car or ur mot gone buy today  so I specifically recommend thier workshop and body shop  very good staff and supervisor,Suzuki Mini Motors (Gulberg 3),1.0,24,0.61050653,1
