wiI7pd,dealership_name,manual_label,review_id
"Suzuki Sethi Motors, proud to be among the leading authorized 3S dealerships of Pak Suzuki. We provide complete set of automobile solutions under one roof.
Car Dealership ? Automotive Repair Shop ? Automotive Parts Store",Suzuki Sethi Motors (Town Morr),1,1
"I have experience in changing oil, plus I have to change the radiator cap and refil its coolant . services are good but they have very few employees thats why they done these thing in 2 hours",Suzuki Sethi Motors (Town Morr),1,2
A good experience of maintenance job of my car. Comfortable sitting area. Courtesy n discipline.,Suzuki Sethi Motors (Town Morr),1,3
"Done AC service from sethi motors, staff is friendly and guide you. rates are on higher side but atleast have peace of mind that parts would be original if require replacement.",Suzuki Sethi Motors (Town Morr),1,4
"This is an expensive place with no customer care. They have two persons to deal all the anger from the customers one is Mr.Danish slim guy AKA chota Danish and their CRO Wasif. Technicians and technical staff will ask you to pay them separately for creating mess with your vehicle. I have attached photos along with the review. I went there to replace the air conditioner due to a faulty compressor. It cost me 40k + 2k other part that they replaced they have team of 5 to 6 persons who deal with air conditioner they took whole day to install new unit and end of the day when they handed back my car its generator was not working it cost me another 4k to get a new battery becuse they forgot to adjust the generator. As new generator/Alternator was installed. This place is not recommended if you are not half mechanic. You will end up paying for their negligence. If you have a brand new car then it is fine to go their as the team is not expert and is very sharp at making excuses to get away with their own negligence. They use to have good people like Naveed, Zahid Khan but now they don't have expert professionals. Their two forman Asif and zeeshan are seniors but they'll be just sitting in the office all the time and if you ask to look at something they'll never move their butt. I am going their for last 5 years and two vehicles were maintained by them i have experienced several second visits, once they forgot to tight the tappet cover,  with my wagon r they were badly failed to diagnose the bearing issue. Like I said before if you have knowledge about your machine then it will be fine to go there. But avoid going there if you're not good enough to understand the mechanical of your car. Plus long wait is guaranteed.",Suzuki Sethi Motors (Town Morr),0,5
Personalized services and professional staff. Expanding their work area now adays. More space will be available,Suzuki Sethi Motors (Town Morr),1,6
"Went there for Oil Change
I found Best Service and honest staff",Suzuki Sethi Motors (Town Morr),1,7
Gud and quick service.it was my first experience with suzuki sethi motore.the staff was vigilant and professional,Suzuki Sethi Motors (Town Morr),1,8
This is not best service and not clear a complain then better mini motor best service in providing,Suzuki Sethi Motors (Town Morr),0,9
"Their services are good
What I guess is they try to increase you bills",Suzuki Sethi Motors (Town Morr),1,10
Very good service  centre  I visited  there bench of time,Suzuki Sethi Motors (Town Morr),1,11
Too busy workshop but good service overall,Suzuki Sethi Motors (Town Morr),0,12
"Bought a car from them.  Not impressed at all from their service.  I have to push to get my work done.  Staff was indifferent towards client needs and perhaps more interested in tips.
I developed a problem in one of my car and i visited them they gave me an estimate of 35000 which later on i got done in only rs 2400.",Suzuki Sethi Motors (Town Morr),0,13
"I went here for a repair for my car. The repair work itself was fine but the customer support staff were not professional and made me wait for an eternity whether it be getting an estimate for the damage to after the work was done and the invoice was to be paid. All in all it was an ok experience due to the quality of the repair work. Other than that, the customer support staff need to be professional and better trained on how to deal with customers.",Suzuki Sethi Motors (Town Morr),0,14
Ok facility. Work done quickly at a decent price. Would have been more happy if a computer check up was done with 1st tuning,Suzuki Sethi Motors (Town Morr),1,15
"The place of professional and technical people, taking care of every customer.",Suzuki Sethi Motors (Town Morr),1,16
Amazing service and very well organised.  . Being a woman I was catered to very well . .and without any fraud . Excellent,Suzuki Sethi Motors (Town Morr),1,17
"Attitude of staff is lethargic like a government office. My car is insured by Bank Alfalah. It needed  minor denting and paint work. Only bumpers and a fender was to be painted without any repair. They took 6 days for it and the work was not satisfactory.  I had to ask again and again for compound and polish of bumpers. They were least interested and did it after a lot of excuses. The car was not properly cleaned.
I would not recommend it.",Suzuki Sethi Motors (Town Morr),0,18
