wiI7pd,dealership_name,manual_label,review_id,predicted_sentiment,predicted_label
Experienced staff.,Suzuki Raiwind Motors (Raiwind Rd),1.0,1,0.96947384,1
This time most bad experience of all time in all over Pakistan.,Suzuki Raiwind Motors (Raiwind Rd),0.0,2,0.35047472,0
I buy 6500 package of tunning.the worker wasted the time in cleaning the plugs  ,Suzuki Raiwind Motors (Raiwind Rd),0.0,3,0.20465232,0
I do not want to give single star as well. In case of warranty they didn't own the car. Even they didn't explained and show me on warranty card that if camber can't be covered.,Suzuki Raiwind Motors (Raiwind Rd),0.0,4,0.44696105,0
"How they are good in service ? even they are not picking up phone ? Worse service ever, and misguide you.",Suzuki Raiwind Motors (Raiwind Rd),0.0,5,0.38970134,0
Worst experience ever,Suzuki Raiwind Motors (Raiwind Rd),0.0,6,0.098041244,0
Not recommended.,Suzuki Raiwind Motors (Raiwind Rd),0.0,7,0.3096308,0
I visited this workshop for the first time in jun25 and left the car there for  ,Suzuki Raiwind Motors (Raiwind Rd),,8,0.38249987,0
"Overall experience was satisfactory, but customer service needs improvement",Suzuki Raiwind Motors (Raiwind Rd),0.0,9,0.28606746,0
"I recently visited Suzuki Raiwind Motors. While the overall experience (in terms of environment and vehicle handling) was good, I felt the customer dealing  ",Suzuki Raiwind Motors (Raiwind Rd),1.0,10,0.60422623,1
Big level dealership with lOw commitments...,Suzuki Raiwind Motors (Raiwind Rd),0.0,13,0.3233509,0
NOt recommended,Suzuki Raiwind Motors (Raiwind Rd),0.0,14,0.3096308,0
"Despite repeated calls, do not attend calls",Suzuki Raiwind Motors (Raiwind Rd),0.0,15,0.26640004,0
Just for checking bikes but they don't have.... Only car show room,Suzuki Raiwind Motors (Raiwind Rd),,16,0.53633875,1
Very bad experience,Suzuki Raiwind Motors (Raiwind Rd),0.0,17,0.10719334,0
They don t guide properly. They take a lot of money on the name of useless packages,Suzuki Raiwind Motors (Raiwind Rd),0.0,18,0.20296884,0
"Today I visited Suzuki Raiwand MotorsÃ and I am Thankful to Mian Shahid Sahib, Hashir sb, Arshad Sb, Shahid sb and the persons who washed my car Sajjad sb and Safeer sb all have done great job Jazak Allah...",Suzuki Raiwind Motors (Raiwind Rd),1.0,19,0.85750693,1
No reply on facebook bad behaveoir,Suzuki Raiwind Motors (Raiwind Rd),0.0,20,0.13332562,0
Staff ia good but itseems their policy isnt good. Suzuki canal.gives much better services,Suzuki Raiwind Motors (Raiwind Rd),1.0,21,0.9216524,1
Pathetic Service,Suzuki Raiwind Motors (Raiwind Rd),0.0,22,0.09785193,0
I took my off from office just for my vehicle work They first wasted time on the things to complete their day and at the day end they only done break service in  ,Suzuki Raiwind Motors (Raiwind Rd),0.0,23,0.33510166,0
Purchased a suzuki car through them. Extremely helping staff that ensured facilitation till completion of registration process.,Suzuki Raiwind Motors (Raiwind Rd),1.0,24,0.52041405,1
So good    ,Suzuki Raiwind Motors (Raiwind Rd),1.0,25,0.95558923,1
Staff is good. Good behaviour. Focused staff.,Suzuki Raiwind Motors (Raiwind Rd),1.0,26,0.94661474,1
Great Service and highly recommended,Suzuki Raiwind Motors (Raiwind Rd),1.0,27,0.93740666,1
Nice place nice staff,Suzuki Raiwind Motors (Raiwind Rd),1.0,28,0.9593454,1
It took them 3 hours for removal and fitting of just a belt of Hustler.,Suzuki Raiwind Motors (Raiwind Rd),0.0,29,0.84580874,1
To expensive,Suzuki Raiwind Motors (Raiwind Rd),1.0,30,0.17651285,0
Only recommended for oil change.,Suzuki Raiwind Motors (Raiwind Rd),1.0,31,0.7410727,1
