review_text,dealership_name,label
Company is good but managers are not loyal with work.,Suzuki Mini Motors (Gulberg 3),0
"All were fine except one guy who was rude with his own colleague.

Regards,
Daniyal Hussain",HONDA Point,1
It is an excelent place for suazuki services,Suzuki Mini Motors (Gulberg 3),1
They are good at servicing...the only dealership who do ask customers for tea or coffee...,Suzuki Raiwind Motors (Raiwind Rd),1
Location is a bit odd....but otherwise Products and SERVICE IS EXCELLENT.,Suzuki Mini Motors (Gulberg 3),1
Great service provided by staff,Suzuki Mini Motors (Gulberg 3),1
Excellent Services. Mr. Manazar from Sales is very supportive and cooperative.,HONDA Gateway,1
"They are avoiding to do repairs/services those are recommended by the Suzuki booklet at different mileage and as asked by costumers, I experienced this at three visits. Parts (filter) was unavailable and one of the technician offered to buy used A/C filter form him in Rs. 1000 that's original price is Rs. 7000. Not recommended for repairs/services.",Suzuki Adil Zafar Motors,0
The stuff appeared very cooperative and helpful. But I found their rates slightly on higher side.,HONDA Township,0
Parts are not available,HONDA Point,0
"Excellent services, i went there for my AC issue, they cooperated with me very efficiently. Team is highly efficient. They guide me properly and helped me in professional way.",Suzuki Sethi Motors (Town Morr),1
Very bad experience with suzuki raiwind team. Everybody busy in using mobile phone and not bother to the customer requirements. Even the delivery date committed for required work is not yet meet and giving wrong justification. I have never  ,Suzuki Raiwind Motors (Raiwind Rd),0
"Skilled professionals, well equipped with necessary gadgets and work better than ordinary mechanics available in the market",Suzuki Mini Motors (Gulberg 3),1
Co operative staff. Good services,HONDA Point,1
Cooperative staff... Almost neat n clean atmosphere...,Suzuki Khalid Motors (Link Ferozpur),1
"It was good,it is rating 4 .5",HONDA Fort,1
They also have paint and denter shops.,Suzuki Adil Zafar Motors,1
"Suzuki Sethi Motors, proud to be among the leading authorized 3S dealerships of Pak Suzuki. We provide complete set of automobile solutions under one roof.
Car Dealership ? Automotive Repair Shop ? Automotive Parts Store",Suzuki Sethi Motors (Town Morr),1
"All payments made , delivery is late in months.
Dirty and irritating behaviour of Honda booking and marketing staff.
No follow up, simply liars .",HONDA Point,0
Staff was cooperative and informative. If driver shows interest in learning they guide you properly and make sure that customer is satisfied. Recommend indeed,Suzuki Adil Zafar Motors,1
"Authorized Dealer of Pak Suzuki Motor Co near kalma Chowk Main Ferozpur Road.
Dealing with Sales of all Suzuki Brand New Cars, Service and Repairing of cars and Suzuki Genuine Spare Parts.",Suzuki Sethi Motors (Town Morr),1
"Terrible sales service, one can only imagine what their after sales service must be like ? I blame the owner who doesn?? invest in human capital development. Shame on the owner just interested in selling. No vision no wonder they are terrible at doing business and competing with the rest of the world",Suzuki Sethi Motors (Town Morr),0
"This Suzuki show room has lunch break of 1 to 2. Even if you go for oil change at 12.30 , they keep you waiting till 2 pm even for this minor work. Suzuki needs to improve this. It wastes a lot of time of people going there. The workers there can split their lunch break and can divide this break between two shifts. But stopping work for almost 1 hour 30 minutes wastes a lot of time. Many people don't opt Suzuki workshops due to this.",Suzuki Sethi Motors (Town Morr),0
Pathetic people,HONDA Point,0
Extremely poor services with very rude behavior of staff. Will never visit again,Suzuki Mini Motors (Gulberg 3),0
Well organized dealership operations and good customer satisfaction.,Suzuki Khalid Motors (Link Ferozpur),1
Great service great experience,Suzuki Sethi Motors (Town Morr),1
Fine,Suzuki Raiwind Motors (Raiwind Rd),1
"Highly recommended to others
Boota bhai is great person
Machenical department.",Suzuki Adil Zafar Motors,1
Suzuki prices are so high. Even of those cars which are more than a decade old. Service was good.,Suzuki Mini Motors (Gulberg 3),1
"New service center, novice running it",HONDA RingRoad,1
"Very expensive, need more place, staff not much cooperative so so.",HONDA Fort,0
They provide good after sale services...,HONDA Point,1
This is not best service and not clear a complain then better mini motor best service in providing,Suzuki Sethi Motors (Town Morr),0
"A great platform for buying vehicles, repairing and Maintenance of vehicles, exchanging parts and oils or buying new Parts.",Suzuki Raiwind Motors (Raiwind Rd),1
Adil Zafar offers services and spare parts as well. Spare parts are expensive and all variety not available. Service area is not well organised and sometimes you need to spend 3 hours for only oil change and tuning.,Suzuki Adil Zafar Motors,0
Work shop management is so week to control workers,HONDA Fort,0
One place with multiple services,Suzuki Raiwind Motors (Raiwind Rd),1
Corrupt system and staff Specially Mr Shahid,Suzuki Raiwind Motors (Raiwind Rd),0
too much expensive,Suzuki Raiwind Motors (Raiwind Rd),0
Too goooooood,HONDA Township,1
Good experience made here in Khalid Suzuki Motors...,Suzuki Khalid Motors (Link Ferozpur),1
Excellent 3s dealership with good work shop and paint shop.,HONDA Gateway,1
Sportive staff,Suzuki Khalid Motors (Link Ferozpur),1
Good service,HONDA Point,1
"My car Honda City Aspire model 2017 was giving abnormal sound intermittently. It seems from camshaft. But mechanic was well trained, he directly pinpoint the problem of AC compressor loose bolts. Problem resolved in few minutes.",HONDA Gateway,1
Amazing staff and services,HONDA Township,1
Pathetic service.,Suzuki Raiwind Motors (Raiwind Rd),0
"They are Pak Suzuki's authorized dealer. They sell Suzuki vehicles,  Spare parts and provide repair and maintenance services.",Suzuki Khalid Motors (Link Ferozpur),1
On of the biggest Suzuki Dealership in Pakistan.. Huge manpower great services... The best part Tea is served to each guest with protocol,Suzuki Sethi Motors (Town Morr),1
Good but as usual staff is not cooperative,Suzuki Khalid Motors (Link Ferozpur),0
"Staff is very very cheap specially the mechanics and guards demanding money for tea ( chay,  panie) which is very bad if customer denied to pay they put there work in waiting hours which bad manners and bad attitude..!! Higher management should take notice ..!!",Suzuki Mini Motors (Gulberg 3),0
Decent experience. Hospitable owners and staff. Do feel that Suzuki Toyota and Honda run a mafia of sorts which hikes prices and provides limited features on vehicles.,Suzuki Sethi Motors (Town Morr),1
"Parts availbility is better than other dealerships and rest is a mess. Its an over crowdes place,  almost located in the center of the lahore city. I checked in at 2 pm thrusday and there was long queue at my car got a place to be fix at 3:10 pm. And i had wait for each type of work separately i.e. 20 mins for wheel balancing, 15 mins for electrician. I left the service at 4:30pm. One more thing they will ask you for your CNIC number for customer details. Never ever share your such details its unlawful and very suspecious act of sehti motors. This was my first and last visit to sehti motors!!!",Suzuki Sethi Motors (Town Morr),1
It's always a good experience,HONDA Point,1
Very good service. Professional Staff,Suzuki Mini Motors (Gulberg 3),1
Good services at body shop,Suzuki Adil Zafar Motors,1
"For the very first inspection, I have to request for every work written in the check list. Not suitable for first and second free inspection. Their foreman is there for promoting their business and asks working parts to change at highest prices. It's better to get your car tunned here but for buying parts, you have to look other options as prices are too high. Looting customers in every possible way. Strongly discouraged to visit",Suzuki Mini Motors (Gulberg 3),0
Its a 3S Honda authorized dealership locating on pindi stop. Ranking 1st in Pakistan on the Bases of its Services. Expensive but best place to tune-up your Car Engine.,HONDA Township,1
Good,Suzuki Raiwind Motors (Raiwind Rd),1
Excellent point to maintain your honda,HONDA Point,1
Good and big place. Very good service,Suzuki Sethi Motors (Town Morr),1
Staff is cooperative and  waiting area is well maintained,Suzuki Khalid Motors (Link Ferozpur),1
Space for parking or placing of car is not enough. You have to move your car every time. Also Surveyors attached there are very incompetent and adds unnecessary complications to make you suffer and pay higher only.,HONDA Gateway,0
