review_text,dealership_name,label
Soo expensive ? Â,HONDA Gateway,0
Cooperative staff... Almost neat n clean atmosphere...,Suzuki Khalid Motors (Link Ferozpur),1
"NICE SHOWROOM IN MY TOWN ...
A showroom is a large space used to display products for sale, such as?automobiles,?furniture,?appliances,?carpet?or?apparel. It is a?retail store?of a company in which products are on sale in a space created by their brand or company. A showroom can also be a space for wholesale buyers to view fashion merchandise for sale in their retail stores.
The world's most famous locations for a showroom, generally in the form of a?cluster",Suzuki Sethi Motors (Town Morr),1
"Honda car mechanical, automotive and body works services available. Routine parts readily available. Service Quality is good.",HONDA Township,1
Friendly staff and good service,HONDA Point,1
Authorized dealer of Suzuki Motors with a very big setup and good customer service. If you own Suzuki vehicle this is the right place for you.,Suzuki Adil Zafar Motors,1
"I have the worst experience. After opening car, they said that they have no spare part. It will be delivered after two weeks howeve they need service charges.",HONDA Township,0
"They are very good for repair and maintenance of Suzuki vehicles. Their waiting area is big and well maintained so you can wait while work is being done. The only problem is that if it is insurance work, they take too many days. Rest I was satisfied with the work. Payments can he made via credit cards. The shop closed at 6 p.m. so plan your visit accordingly.",Suzuki Sethi Motors (Town Morr),1
Adil Zafar offers services and spare parts as well. Spare parts are expensive and all variety not available. Service area is not well organised and sometimes you need to spend 3 hours for only oil change and tuning.,Suzuki Adil Zafar Motors,0
"Undoubtedly, Staff is very cooperative. And even the guy who serves has a very cool temperament. Car services are qualitative and highly satisfactory.",Suzuki Raiwind Motors (Raiwind Rd),1
It's a good place to get your vehicle periodically maintained. Good job done everytime.,Suzuki Mini Motors (Gulberg 3),1
Have a good experience on Google maps,HONDA Gateway,1
"This is an expensive place with no customer care. They have two persons to deal all the anger from the customers one is Mr.Danish slim guy AKA chota Danish and their CRO Wasif. Technicians and technical staff will ask you to pay them separately for creating mess with your vehicle. I have attached photos along with the review. I went there to replace the air conditioner due to a faulty compressor. It cost me 40k + 2k other part that they replaced they have team of 5 to 6 persons who deal with air conditioner they took whole day to install new unit and end of the day when they handed back my car its generator was not working it cost me another 4k to get a new battery becuse they forgot to adjust the generator. As new generator/Alternator was installed. This place is not recommended if you are not half mechanic. You will end up paying for their negligence. If you have a brand new car then it is fine to go their as the team is not expert and is very sharp at making excuses to get away with their own negligence. They use to have good people like Naveed, Zahid Khan but now they don't have expert professionals. Their two forman Asif and zeeshan are seniors but they'll be just sitting in the office all the time and if you ask to look at something they'll never move their butt. I am going their for last 5 years and two vehicles were maintained by them i have experienced several second visits, once they forgot to tight the tappet cover,  with my wagon r they were badly failed to diagnose the bearing issue. Like I said before if you have knowledge about your machine then it will be fine to go there. But avoid going there if you're not good enough to understand the mechanical of your car. Plus long wait is guaranteed.",Suzuki Sethi Motors (Town Morr),0
"All were fine except one guy who was rude with his own colleague.

Regards,
Daniyal Hussain",HONDA Point,1
Looks good but staff and customer care needs improvement,HONDA Point,1
Good services but a little expensive.,HONDA Point,1
Good workers. But paint Shops staff is very arrogant.,Suzuki Khalid Motors (Link Ferozpur),1
Worse experience in life. They never respond to call a single time in day. Look at SS below. This is number they had given in booking message to contact about Car delivery. Car dispatch date is gone and thereÂs no delivery after 70 days of 100% Balance payment. Worse experience and IÂll go to court now.,HONDA Gateway,0
Very Good Service and Good Attitude of Staff,Suzuki Sethi Motors (Town Morr),1
Professional customer service.,HONDA Gateway,1
If you do payments with card they will charge 2% extra while is really bad who uses cash specifically in covid.,HONDA Township,0
"Very expensive, need more place, staff not much cooperative so so.",HONDA Fort,0
Good efficient facility,Suzuki Raiwind Motors (Raiwind Rd),1
"I have mixed experience of this place.

Pros
Large showroom
Exclusively for Suzuki vehicles
They oblige you with priority if you had booking.
Staff is generally courteous.
Tuck shop drinks also available.
Seating waiting area available.
Usually they don't bring up extra faults in your car.

Cons
There is lack of coordination between staff.
Staff is diverse and some are not courteous, not cooperative, uncaring and self centered.
At rush hour they want you to typically go away.
If you go for simple service, they pretty much do nothing at all except for screw tightening.
Parts are overpriced.
If you ask for opinion like I wanted Android panel in WagonR, they provide you wrong piece of advice and told me cost of 45k which is way way overpriced.
My car started performing bad with milage of 10 they said it's normal.

Summary
Probably the largest service station for Suzuki but owing to my poor performing car after wait time of 2-3 hours at service I decided to leave sethi motors and Alhamdulillah my car is back to milage of near 15. So Generally I won't recommend sethi motors.",Suzuki Sethi Motors (Town Morr),1
